sensor,feature,marg_rpm,marg_temp,marg_kappa,cond_rpm,cond_rpm_lo,cond_rpm_hi,cond_temp,cond_temp_lo,cond_temp_hi
AE,AE__rms,0.7201547962781109,0.5556595126632535,0.050145930192557114,0.897171405077766,0.8739987277299074,0.931857558911282,0.9293374826233463,0.8935996774779776,0.9358753937963122
AE,AE__skewness,-0.3591927277560738,0.12287229489308311,-0.3465116552245303,-0.3613529455268501,-0.4535361410208963,-0.32921803076701717,0.09654881238325945,0.005670032095260786,0.2528690348633252
AE,AE__kurtosis,-0.2524359977905317,0.45042141990911566,-0.473655754788085,-0.3520809789984116,-0.6644415641849333,-0.06485753743484614,0.4018020210171514,0.21143824995615879,0.649139340266096
AE,AE__crest_factor,-0.356669123809388,0.37244089272820446,-0.4909711600847403,-0.44894142212832844,-0.6918300298609678,-0.17555901292859438,0.33665052808387597,0.20500607421312242,0.5532403001357181
AE,AE__shape_factor,-0.06554387942355488,0.5992188482969497,-0.4700236518323897,-0.3197592388319931,-0.46139761443990496,0.15081920155785547,0.5754933451439768,0.4617335605447159,0.7222685872655997
AE,AE__margin_factor,-0.2945526539157649,0.4696293986537021,-0.5208354102526391,-0.37628606310606194,-0.6503333400503359,-0.15833299760513342,0.47696743810290393,0.29409258667419635,0.6268812206498351
AE,AE__mobility,-0.5597135452964559,-0.690569971675614,0.13130462802810564,-0.7968765944134502,-0.8462477672310399,-0.7293191949292253,-0.9629993651751603,-0.9702631285875585,-0.9570397368412311
AE,AE__complexity,-0.6582341821932509,-0.45740403066043417,-0.021235604295245097,-0.8206467424960093,-0.8746326408458394,-0.628902783071908,-0.9017944073257943,-0.9206822116439358,-0.8129331397129657
AE,AE__dominant_frequency,0.38521578039946713,-0.1739712296743683,0.37478753118586844,0.3814348925345583,0.31262028722586305,0.4636901910196517,-0.1721052639600046,-0.30355426500492944,-0.01475171344178143
AE,AE__center_frequency,-0.6451705909290415,-0.6415352262985391,0.05443565821108827,-0.87123392435315,-0.9143016170108407,-0.8433423640981911,-0.9641816110963419,-0.966027022032871,-0.9263490533014827
AE,AE__spectral_bandwidth,-0.7223397522103724,-0.5475376283775797,-0.054950289704128304,-0.8873342138112117,-0.9346459988933035,-0.8676251047300874,-0.9311675193418574,-0.9366115299066017,-0.8843276790789721
AE,AE__spectral_skewness,0.6650345162529769,0.6057255865614337,-0.016315365963497308,0.8574730084277976,0.836832955648933,0.8996274273191165,0.9437480852733927,0.9047974905672032,0.9493717825166998
AE,AE__spectral_kurtosis,0.67969194316473,0.5827475007829738,0.007662492322494706,0.8551141398329132,0.8374632978893346,0.8910314279868953,0.9201045204360442,0.8905438010754501,0.9318192034718333
AE,AE__spectral_flatness,-0.4346437623705557,-0.4135769776300485,0.01445817975584286,-0.48181705782577555,-0.512800171227671,-0.4318904411258595,-0.48860162779764765,-0.5289090428148185,-0.4425765450005477
AE,AE_50-200kHz__rms,0.7178773440728187,0.558864897656583,0.046453236121459913,0.8969253809200359,0.8733637152575708,0.9313694547917818,0.930082188869115,0.8949310009524313,0.9363905729897086
AE,AE_50-200kHz__skewness,-0.5184183574360065,-0.0070010111921154205,-0.3321599298926112,-0.5538501281638772,-0.6202820319370825,-0.471347183618898,-0.11594116418767089,-0.2893824364939855,0.3041791951291646
AE,AE_50-200kHz__kurtosis,-0.30226485275992526,0.424510632319071,-0.4978712350627199,-0.4182323108838544,-0.692358503821004,-0.1403322426274463,0.3628776319170237,0.18781060148805034,0.6241193456745554
AE,AE_50-200kHz__crest_factor,-0.3683757897939839,0.37878078065384485,-0.5182371528502407,-0.5004020927700259,-0.6555090774941307,-0.21253699202603302,0.3416615379381895,0.27131405273260106,0.5271095640392952
AE,AE_50-200kHz__shape_factor,-0.12331682349491072,0.5877445694843123,-0.5048630911622024,-0.34703112726319374,-0.5422610908413856,0.05781434224400677,0.5504980590746018,0.4348631939062051,0.7159073819068937
