file,sweep,rpm,temperature_c,kappa,viscosity_40c_cst,viscosity_100c_cst
scope_20260424_115654,sweep_1025,2976.5,47.0,1.2563,22.0,4.1
scope_20260424_115654,sweep_1026,2976.9,47.0,1.2564,22.0,4.1
scope_20260424_115654,sweep_1027,2976.8,47.0,1.2563,22.0,4.1
scope_20260424_115654,sweep_1028,2962.5,46.0,1.3003,22.0,4.1
scope_20260424_115654,sweep_1029,2976.8,46.0,1.3035,22.0,4.1
scope_20260424_115654,sweep_103,790.6,43.0,0.6806,22.0,4.1
scope_20260424_115654,sweep_1030,2976.8,46.0,1.3035,22.0,4.1
scope_20260424_115654,sweep_1031,2962.8,46.0,1.3004,22.0,4.1
scope_20260424_115654,sweep_1032,2962.8,46.0,1.3004,22.0,4.1
scope_20260424_115654,sweep_1033,2963.1,46.0,1.3005,22.0,4.1
scope_20260424_115654,sweep_1034,2963.1,46.0,1.3005,22.0,4.1
scope_20260424_115654,sweep_1035,2962.8,46.0,1.3004,22.0,4.1
scope_20260424_115654,sweep_1036,2963.0,46.0,1.3004,22.0,4.1
scope_20260424_115654,sweep_1037,2962.5,45.0,1.3498,22.0,4.1
scope_20260424_115654,sweep_1038,2976.8,45.0,1.3531,22.0,4.1
scope_20260424_115654,sweep_1039,2976.5,45.0,1.353,22.0,4.1
scope_20260424_115654,sweep_104,778.7,42.0,0.6988,22.0,4.1
scope_20260424_115654,sweep_1040,2962.8,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_1041,2976.8,45.0,1.3531,22.0,4.1
scope_20260424_115654,sweep_1042,2962.8,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_1043,2962.7,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_1044,2976.6,45.0,1.353,22.0,4.1
scope_20260424_115654,sweep_1045,2963.1,45.0,1.35,22.0,4.1
scope_20260424_115654,sweep_1046,2963.0,45.0,1.3499,22.0,4.1
scope_20260424_115654,sweep_1047,2963.0,45.0,1.3499,22.0,4.1
