channel,target,feature,band,ftype,mean_abs_shap,frac
AE,Temp,AE_50-200kHz__crest_factor,50-200kHz,shape,0.05063857334097662,0.0020009542057223585
AE,Temp,AE_50-200kHz__shape_factor,50-200kHz,shape,2.580248353204524,0.10195703499361676
AE,Temp,AE_50-200kHz__margin_factor,50-200kHz,shape,0.14410216019116212,0.0056941142781930885
AE,Temp,AE_50-200kHz__mobility,50-200kHz,complexity,3.7433202460441755,0.14791515430839922
AE,Temp,AE_50-200kHz__complexity,50-200kHz,complexity,0.379210383058355,0.014984280969467932
AE,Temp,AE_50-200kHz__dominant_frequency,50-200kHz,spectral,0.12201263407660501,0.004821259312795194
AE,Temp,AE_50-200kHz__center_frequency,50-200kHz,spectral,9.036293210134293,0.3570639476986871
AE,Temp,AE_50-200kHz__spectral_bandwidth,50-200kHz,spectral,0.2083353911925916,0.00823225359057063
AE,Temp,AE_50-200kHz__spectral_skewness,50-200kHz,spectral,0.07611729415022679,0.0030077312572085345
AE,Temp,AE_50-200kHz__spectral_kurtosis,50-200kHz,spectral,0.04977248379386556,0.001966731173605028
AE,Temp,AE_50-200kHz__spectral_flatness,50-200kHz,spectral,0.0630585254109021,0.002491721494165643
AE,Temp,AE_200-600kHz__rms,200-600kHz,amplitude,0.1757955849248427,0.006946461793743773
AE,Temp,AE_200-600kHz__skewness,200-600kHz,shape,0.4043392967017313,0.01597723559126135
AE,Temp,AE_200-600kHz__kurtosis,200-600kHz,shape,0.27086914554658803,0.010703239057157332
AE,Temp,AE_200-600kHz__crest_factor,200-600kHz,shape,0.07578143057639501,0.002994459800564557
AE,Temp,AE_200-600kHz__shape_factor,200-600kHz,shape,0.6128156811284037,0.02421506044867658
AE,Temp,AE_200-600kHz__margin_factor,200-600kHz,shape,0.04757731036253627,0.0018799901534713905
AE,Temp,AE_200-600kHz__mobility,200-600kHz,complexity,0.5521982840762667,0.02181979874265087
AE,Temp,AE_200-600kHz__complexity,200-600kHz,complexity,0.7801664696641543,0.0308278309526314
AE,Temp,AE_200-600kHz__dominant_frequency,200-600kHz,spectral,0.3285240241597935,0.01298143854482245
AE,Temp,AE_200-600kHz__center_frequency,200-600kHz,spectral,0.609762325064983,0.024094408833641334
AE,Temp,AE_200-600kHz__spectral_bandwidth,200-600kHz,spectral,0.6160645005427396,0.024343435686007518
AE,Temp,AE_200-600kHz__spectral_skewness,200-600kHz,spectral,0.11878162174946875,0.004693587712310104
AE,Temp,AE_200-600kHz__spectral_kurtosis,200-600kHz,spectral,0.130963351689565,0.00517494178981302
AE,Temp,AE_200-600kHz__spectral_flatness,200-600kHz,spectral,0.17147256330598193,0.006775640071902561
US,RPM,US__rms,broadband,amplitude,81.04003589588768,0.07256171009960412
US,RPM,US__skewness,broadband,shape,8.834225960672718,0.007909998262294191
US,RPM,US__kurtosis,broadband,shape,8.792410186128565,0.007872557211380032
US,RPM,US__crest_factor,broadband,shape,4.9688126687017755,0.004448980561518657
US,RPM,US__shape_factor,broadband,shape,407.53567719398063,0.3648997108267082
US,RPM,US__margin_factor,broadband,shape,4.817880191799816,0.004313838486215962
US,RPM,US__mobility,broadband,complexity,7.111849984270782,0.00636781550163056
US,RPM,US__complexity,broadband,complexity,138.29163492876194,0.12382370530774053
US,RPM,US__dominant_frequency,broadband,spectral,0.0,0.0
US,RPM,US__center_frequency,broadband,spectral,4.140590969500672,0.0037074065706971457
US,RPM,US__spectral_bandwidth,broadband,spectral,3.2339283248519046,0.0028955980460357855
US,RPM,US__spectral_skewness,broadband,spectral,2.36864063294818,0.0021208358688159243
US,RPM,US__spectral_kurtosis,broadband,spectral,1.5913894466640113,0.0014248999079017317
US,RPM,US__spectral_flatness,broadband,spectral,1.1380466045489332,0.0010189853309690957
US,RPM,US_0-16kHz__rms,0-16kHz,amplitude,7.541061773768426,0.006752123592027651
US,RPM,US_0-16kHz__skewness,0-16kHz,shape,2.3432573576501325,0.002098108165857826
US,RPM,US_0-16kHz__kurtosis,0-16kHz,shape,2.0587669982377577,0.0018433808973218992
US,RPM,US_0-16kHz__crest_factor,0-16kHz,shape,7.165527948961462,0.00641587773247194
US,RPM,US_0-16kHz__shape_factor,0-16kHz,shape,183.21272646691259,0.16404519812317586
US,RPM,US_0-16kHz__margin_factor,0-16kHz,shape,5.552430754751376,0.004971541119404168
US,RPM,US_0-16kHz__mobility,0-16kHz,complexity,3.8068497070563407,0.0034085809783087995
US,RPM,US_0-16kHz__complexity,0-16kHz,complexity,17.463157790929706,0.015636180056447697
US,RPM,US_0-16kHz__dominant_frequency,0-16kHz,spectral,0.0,0.0
US,RPM,US_0-16kHz__center_frequency,0-16kHz,spectral,4.101014885045911,0.003671970895782427
US,RPM,US_0-16kHz__spectral_bandwidth,0-16kHz,spectral,2.139569862048717,0.0019157302480378971
US,RPM,US_0-16kHz__spectral_skewness,0-16kHz,spectral,1.4733856275242687,0.0013192415278133463
US,RPM,US_0-16kHz__spectral_kurtosis,0-16kHz,spectral,0.09957970276785319,8.916177595637479e-05
US,RPM,US_0-16kHz__spectral_flatness,0-16kHz,spectral,1.171509413786254,0.0010489472952766663
US,RPM,US_16-40kHz__rms,16-40kHz,amplitude,13.033865172055139,0.011670275508108254
US,RPM,US_16-40kHz__skewness,16-40kHz,shape,6.054460920174619,0.005421049401600601
US,RPM,US_16-40kHz__kurtosis,16-40kHz,shape,16.154763662047387,0.014464668785179855
US,RPM,US_16-40kHz__crest_factor,16-40kHz,shape,6.696264235330209,0.0059957079093425495
US,RPM,US_16-40kHz__shape_factor,16-40kHz,shape,44.72087283893615,0.04004222079206669
US,RPM,US_16-40kHz__margin_factor,16-40kHz,shape,6.370133829629203,0.005703696933637348
US,RPM,US_16-40kHz__mobility,16-40kHz,complexity,55.038547554482626,0.04928047091541701
US,RPM,US_16-40kHz__complexity,16-40kHz,complexity,36.749576170655466,0.032904873040829154
US,RPM,US_16-40kHz__dominant_frequency,16-40kHz,spectral,8.010134312175483,0.0071721222404895705
US,RPM,US_16-40kHz__center_frequency,16-40kHz,spectral,3.714023774527659,0.0033254664000462123
US,RPM,US_16-40kHz__spectral_bandwidth,16-40kHz,spectral,2.4728675629234194,0.002214158683815058
US,RPM,US_16-40kHz__spectral_skewness,16-40kHz,spectral,1.620468689484647,0.0014509369100345756
US,RPM,US_16-40kHz__spectral_kurtosis,16-40kHz,spectral,1.673509077936398,0.0014984282672120424
US,RPM,US_16-40kHz__spectral_flatness,16-40kHz,spectral,2.5395220235356817,0.0022738398228264716
US,Temp,US__rms,broadband,amplitude,0.7493573341887354,0.028334996286971358
US,Temp,US__skewness,broadband,shape,0.11894729203533745,0.00449768211292066
US,Temp,US__kurtosis,broadband,shape,0.09614919947723631,0.003635631608426464
US,Temp,US__crest_factor,broadband,shape,0.09885290364963578,0.003737865141336296
US,Temp,US__shape_factor,broadband,shape,0.15321302965281924,0.005793351753910846
US,Temp,US__margin_factor,broadband,shape,0.07159570968096815,0.0027072053283759097
US,Temp,US__mobility,broadband,complexity,0.4870784506758929,0.018417603273752883
US,Temp,US__complexity,broadband,complexity,4.335487875801463,0.16393518453521055
US,Temp,US__dominant_frequency,broadband,spectral,0.0,0.0
