sensor,band,n,cond_rpm,cond_temp
AE,200-600kHz,14,0.5141780249352397,0.6693530016021052
AE,50-200kHz,14,0.39219761626917427,0.4034091323304227
AE,broadband,14,0.6219659019545912,0.650107287697197
US,0-16kHz,14,0.5082722822385233,0.3796690516899854
US,16-40kHz,14,0.4444678374496006,0.44843821072194406
US,broadband,14,0.5157423486951428,0.4296831177881191
