sensor,ftype,n,cond_rpm,cond_temp
AE,amplitude,3,0.6307150634272418,0.4736202496546329
AE,complexity,6,0.6047810724706445,0.4178212813569548
AE,shape,15,0.21989128688810297,0.24332697565222441
AE,spectral,18,0.2712236769824416,0.19053562242200886
US,amplitude,4,0.7957196541592599,0.5688379823104165
US,complexity,8,0.3096418808521074,0.6930250633593426
US,shape,20,0.618550277004693,0.4846002221557475
US,spectral,24,0.1065965528594679,0.09744024886386649
