sweep,rpm,temp,band,p_total,p_broad,p_line,line_share
sweep_2018,192.8,50.0,AE_20-500kHz,2.3611723338596405e-05,1.1866345036222429e-05,1.3086771508380736e-05,0.5542488924130633
sweep_2018,192.8,50.0,AE_500-1000kHz,3.628983714673873e-05,1.7207965774112802e-05,2.079948192222425e-05,0.5731489463047492
sweep_2018,192.8,50.0,AE_1000-2000kHz,2.336399213043013e-05,2.0978100278072787e-05,4.998413582850298e-06,0.21393662328537505
sweep_2019,192.8,50.0,AE_20-500kHz,2.241960935502098e-05,1.2048420540875873e-05,1.1835450016740222e-05,0.5279061659515318
sweep_2019,192.8,50.0,AE_500-1000kHz,3.3881043166265995e-05,1.822953040733405e-05,1.7565509242596725e-05,0.5184465294175477
sweep_2019,192.8,50.0,AE_1000-2000kHz,2.3291187524468174e-05,2.0337097238582192e-05,5.623018181822945e-06,0.241422562757514
sweep_2020,192.8,50.0,AE_20-500kHz,2.317469722760577e-05,1.1652016645650917e-05,1.299983987358031e-05,0.5609497179576897
sweep_2020,192.8,50.0,AE_500-1000kHz,3.597876380513798e-05,1.7686951501617717e-05,2.0173739547588328e-05,0.5607124151582829
sweep_2020,192.8,50.0,AE_1000-2000kHz,2.3372610402961164e-05,1.9966723118473773e-05,6.058744657608355e-06,0.25922413257017923
sweep_2021,192.8,50.0,AE_20-500kHz,2.2460933183088114e-05,1.0995138373892035e-05,1.2648457224152663e-05,0.563131421168034
sweep_2021,192.8,50.0,AE_500-1000kHz,3.567386698816001e-05,1.727434303421082e-05,2.0133871106017308e-05,0.5643871216064029
sweep_2021,192.8,50.0,AE_1000-2000kHz,2.252900527988647e-05,1.9521530445460673e-05,5.518774222002573e-06,0.24496306665299797
sweep_2022,192.8,51.0,AE_20-500kHz,2.2130273182411337e-05,1.1080739917497888e-05,1.2438835234761662e-05,0.5620732799922136
sweep_2022,192.8,51.0,AE_500-1000kHz,3.455757678300722e-05,1.768576186156579e-05,1.8606567586620368e-05,0.538422230917813
sweep_2022,192.8,51.0,AE_1000-2000kHz,2.3010570894743434e-05,1.8810587968026315e-05,6.6274034614215395e-06,0.28801560342579385
sweep_2023,192.8,51.0,AE_20-500kHz,2.355470884508474e-05,1.2250909405619434e-05,1.269752716662538e-05,0.5390653414625002
sweep_2023,192.8,51.0,AE_500-1000kHz,3.659364434174549e-05,1.7557879378857772e-05,2.0820768619645314e-05,0.5689722626476229
sweep_2023,192.8,51.0,AE_1000-2000kHz,2.3691076680147648e-05,2.0517593625245216e-05,5.69941663885092e-06,0.24057229292693338
sweep_2024,192.8,51.0,AE_20-500kHz,2.2572015313045665e-05,1.2467121379009155e-05,1.1508613152281388e-05,0.5098620124375823
sweep_2024,192.8,51.0,AE_500-1000kHz,3.427582574655786e-05,1.8402838934912907e-05,1.769855689668841e-05,0.5163568349178511
sweep_2024,192.8,51.0,AE_1000-2000kHz,2.3076658162455506e-05,1.9276103839697173e-05,6.411965353283797e-06,0.2778550216476198
sweep_2025,192.8,52.0,AE_20-500kHz,2.2060393286587883e-05,1.0860715004654477e-05,1.2485868442454973e-05,0.565985759195238
sweep_2025,192.8,52.0,AE_500-1000kHz,3.5972766348692466e-05,1.6841050171716367e-05,2.0871514430281915e-05,0.5802032078369905
sweep_2025,192.8,52.0,AE_1000-2000kHz,2.218889652284684e-05,1.9114911223045245e-05,5.475466078462383e-06,0.24676603781646186
sweep_2026,192.8,52.0,AE_20-500kHz,2.3709542596471374e-05,1.2831383079354235e-05,1.2317799202005464e-05,0.519529179101021
sweep_2026,192.8,52.0,AE_500-1000kHz,3.6723907812869305e-05,1.8689837151379133e-05,1.9907183116598014e-05,0.5420769275981534
sweep_2026,192.8,52.0,AE_1000-2000kHz,2.3129897224347723e-05,2.0002550874515047e-05,5.680941552742967e-06,0.2456103240598456
sweep_2027,192.8,53.0,AE_20-500kHz,2.264381414612713e-05,1.1912000864757519e-05,1.2181759367271104e-05,0.537972944339618
sweep_2027,192.8,53.0,AE_500-1000kHz,3.490041914429483e-05,1.814023756320891e-05,1.8435018143446878e-05,0.5282176717485196
sweep_2027,192.8,53.0,AE_1000-2000kHz,2.306751182699755e-05,1.998318170750148e-05,5.39152931199419e-06,0.23372825610450534
sweep_1302,400.62,45.0,AE_20-500kHz,4.986635161390799e-05,3.236367723372474e-05,2.1175223876590257e-05,0.4246395252762862
sweep_1302,400.62,45.0,AE_500-1000kHz,5.0512840366438337e-05,4.393767196285466e-05,1.2727290753058972e-05,0.25196149455723776
sweep_1302,400.62,45.0,AE_1000-2000kHz,6.659574633050097e-06,4.390196748910167e-06,3.086421883682964e-06,0.46345630971168755
sweep_1976,401.13,54.0,AE_20-500kHz,8.777943718822323e-05,6.221585420360137e-05,3.1597857693927534e-05,0.35996878888814293
sweep_1976,401.13,54.0,AE_500-1000kHz,4.987502677902902e-05,4.1253391932927634e-05,1.4124151124656228e-05,0.2831908479414595
sweep_1976,401.13,54.0,AE_1000-2000kHz,4.403845482574149e-06,2.9399717181609074e-06,2.1035250289421713e-06,0.477656411258238
sweep_055,401.38,48.0,AE_20-500kHz,5.001462064908979e-05,2.198637429483642e-05,3.095035981390202e-05,0.6188262434509794
sweep_055,401.38,48.0,AE_500-1000kHz,9.097290094093791e-05,8.238142514062558e-05,1.9541183078774398e-05,0.21480224194962264
sweep_055,401.38,48.0,AE_1000-2000kHz,1.7967396566367868e-05,1.435515911821734e-05,6.124436746695974e-06,0.34086389333443856
sweep_067,398.07,47.0,AE_20-500kHz,3.9559034078747106e-05,1.8435140185857736e-05,2.3601451811629505e-05,0.596613450284148
sweep_067,398.07,47.0,AE_500-1000kHz,5.922030052465943e-05,4.817730867527918e-05,1.8096270086749055e-05,0.3055754517695117
sweep_067,398.07,47.0,AE_1000-2000kHz,2.54490826389837e-05,1.5172120218843305e-05,1.3693340826652587e-05,0.5380681504675024
sweep_1301,396.02,45.0,AE_20-500kHz,5.3677379196747964e-05,3.0351449408034642e-05,2.728649350256439e-05,0.5083425068602742
sweep_1301,396.02,45.0,AE_500-1000kHz,5.0047966216037914e-05,3.9897522349972915e-05,1.558606619585359e-05,0.31142256867291085
sweep_1301,396.02,45.0,AE_1000-2000kHz,1.063795046642814e-05,6.747615460107047e-06,5.409983091311604e-06,0.5085550180351697
sweep_1975,394.28,54.0,AE_20-500kHz,5.1075679910559814e-05,3.191849296559358e-05,2.3136974678746448e-05,0.4529939634531016
sweep_1975,394.28,54.0,AE_500-1000kHz,4.925900901403658e-05,4.1160149723142446e-05,1.3482729210936467e-05,0.2737109308694071
sweep_1975,394.28,54.0,AE_1000-2000kHz,3.292103738039246e-06,2.3016087915348805e-06,1.4046625662239392e-06,0.42667627693304294
sweep_066,406.91,47.0,AE_20-500kHz,4.446877259348686e-05,2.237230284641506e-05,2.483690428542934e-05,0.5585246193430373
sweep_066,406.91,47.0,AE_500-1000kHz,6.42231542396456e-05,5.556165489112595e-05,1.6950907033029965e-05,0.26393762862811865
sweep_066,406.91,47.0,AE_1000-2000kHz,2.8571556153428294e-05,1.788942962570177e-05,1.4353028272319745e-05,0.5023537463358477
sweep_1300,392.02,45.0,AE_20-500kHz,5.867743831584675e-05,2.883001636430976e-05,3.353258907620121e-05,0.5714732960171716
sweep_1300,392.02,45.0,AE_500-1000kHz,5.3058514824352724e-05,3.92072526498256e-05,1.925894009226404e-05,0.36297548387887774
sweep_1300,392.02,45.0,AE_1000-2000kHz,7.298038036420024e-06,5.190566936217041e-06,3.139798886472519e-06,0.43022506470968114
sweep_1974,388.61,54.0,AE_20-500kHz,6.196217782486032e-05,3.266064773689169e-05,3.276775626539108e-05,0.52883480561337
sweep_1974,388.61,54.0,AE_500-1000kHz,5.2976587306107124e-05,4.188526768025022e-05,1.6745101243426155e-05,0.31608493666589554
sweep_1974,388.61,54.0,AE_1000-2000kHz,2.982708108297597e-06,2.34737157602772e-06,1.035924291086686e-06,0.3473099792114581
sweep_054,413.95,48.0,AE_20-500kHz,4.551515715841226e-05,1.9437354481926008e-05,2.8521883053948405e-05,0.6266458216255306
sweep_054,413.95,48.0,AE_500-1000kHz,8.525490168768691e-05,7.467151880891088e-05,2.1084018902129214e-05,0.24730565028819113
sweep_054,413.95,48.0,AE_1000-2000kHz,1.417395859028579e-05,1.0932121095167957e-05,5.035095916230546e-06,0.35523568692245083
sweep_083,601.67,45.0,AE_20-500kHz,0.0001319343470828924,9.626975372044246e-05,4.4007466271184444e-05,0.33355579683533965
sweep_083,601.67,45.0,AE_500-1000kHz,9.617144780569517e-05,8.954903326514944e-05,1.9825702433223408e-05,0.20614956814707902
sweep_083,601.67,45.0,AE_1000-2000kHz,1.309573300966969e-05,1.1479647851163523e-05,3.49200824121878e-06,0.26665236979406454
sweep_1271,598.22,48.0,AE_20-500kHz,6.224240550294195e-05,3.775048012241907e-05,2.8503590352135335e-05,0.4579448708933347
sweep_1271,598.22,48.0,AE_500-1000kHz,5.5931232193515016e-05,4.622432578544158e-05,1.55732236416307e-05,0.2784351967743051
sweep_1271,598.22,48.0,AE_1000-2000kHz,6.591900108182252e-06,5.716260379154067e-06,1.7358632193118926e-06,0.26333275547626056
sweep_1947,602.27,55.0,AE_20-500kHz,5.78809838818494e-05,3.6814635555335645e-05,2.5521919240257828e-05,0.4409378958096999
sweep_1947,602.27,55.0,AE_500-1000kHz,4.937668496572926e-05,4.198847128463744e-05,1.2954157806012735e-05,0.2623537366877463
sweep_1947,602.27,55.0,AE_1000-2000kHz,4.670089935166469e-06,4.012860611882548e-06,1.3201409923545243e-06,0.2826799934651509
sweep_1946,597.67,55.0,AE_20-500kHz,7.127296634631452e-05,4.5660833173907694e-05,2.9935067868158573e-05,0.4200059209364799
sweep_1946,597.67,55.0,AE_500-1000kHz,4.450139187352629e-05,3.5615397298842375e-05,1.3528163367737593e-05,0.3039941628384313
sweep_1946,597.67,55.0,AE_1000-2000kHz,2.924036657199321e-06,2.4580931974701838e-06,8.772904498549538e-07,0.30002717226371356
sweep_597,602.86,45.0,AE_20-500kHz,0.0001151031923406587,7.714053392181046e-05,5.109146597518788e-05,0.4438753168893691
sweep_597,602.86,45.0,AE_500-1000kHz,7.031183510243363e-05,6.324519963052467e-05,1.5366850700779983e-05,0.21855283222792896
sweep_597,602.86,45.0,AE_1000-2000kHz,1.8301700815451295e-05,1.589277023483025e-05,4.921302773933581e-06,0.26889865720997624
sweep_1272,604.03,47.0,AE_20-500kHz,6.35419185993107e-05,3.808584964579094e-05,2.943871518857265e-05,0.4632959759086027
sweep_1272,604.03,47.0,AE_500-1000kHz,5.825528923588777e-05,5.0333265323283655e-05,1.4532424856025502e-05,0.24946103687135934
sweep_1272,604.03,47.0,AE_1000-2000kHz,2.083090134800119e-06,1.9066626646110212e-06,4.5185417718310933e-07,0.216915326722752
sweep_596,595.96,45.0,AE_20-500kHz,5.8480049427286885e-05,3.262810525929861e-05,3.002288755897433e-05,0.5133868362458258
sweep_596,595.96,45.0,AE_500-1000kHz,7.875075306145265e-05,7.12138871017675e-05,1.7244942090303697e-05,0.21898129757370974
sweep_596,595.96,45.0,AE_1000-2000kHz,1.3074121248629628e-05,1.0872280863703355e-05,4.110805229294792e-06,0.31442306149070387
sweep_1273,607.58,47.0,AE_20-500kHz,6.109534165526748e-05,3.832650054482692e-05,2.671358386639339e-05,0.4372442013194015
sweep_1273,607.58,47.0,AE_500-1000kHz,5.322431372957084e-05,4.596319842116501e-05,1.3354642635140833e-05,0.2509124439442258
sweep_1273,607.58,47.0,AE_1000-2000kHz,5.541240974097363e-06,4.796412381802816e-06,1.5150841159994936e-06,0.2734196406692622
sweep_1948,608.17,55.0,AE_20-500kHz,6.438836330435393e-05,3.182626503427482e-05,3.650500347377648e-05,0.5669503245675452
sweep_1948,608.17,55.0,AE_500-1000kHz,5.344648222194643e-05,4.4233751154322684e-05,1.5009056775466556e-05,0.2808240346509367
sweep_1948,608.17,55.0,AE_1000-2000kHz,5.000099850657088e-06,4.107067809436783e-06,1.585627446612492e-06,0.3171191564112698
sweep_598,609.37,45.0,AE_20-500kHz,9.256392311862206e-05,5.73922338316522e-05,4.226769894175056e-05,0.45663253584859265
sweep_598,609.37,45.0,AE_500-1000kHz,7.06521314558045e-05,6.166749739436166e-05,1.7479111822235966e-05,0.24739680830676417
sweep_598,609.37,45.0,AE_1000-2000kHz,8.332388667973659e-06,7.278104538522428e-06,2.2297114927937937e-06,0.26759571374339575
sweep_1270,783.58,48.0,AE_20-500kHz,8.48045920425706e-05,5.3818812621651364e-05,3.717951737629122e-05,0.43841396415924827
sweep_1270,783.58,48.0,AE_500-1000kHz,6.116516765940196e-05,5.391026936906639e-05,1.4603292130306867e-05,0.23875177145961984
sweep_1270,783.58,48.0,AE_1000-2000kHz,2.3734440942931133e-06,2.067698796562447e-06,6.15677740585735e-07,0.2594026722879703
sweep_1945,782.63,55.0,AE_20-500kHz,7.393026480779892e-05,4.878522491647633e-05,3.1210786826523174e-05,0.42216522431867093
sweep_1945,782.63,55.0,AE_500-1000kHz,5.4126538392727824e-05,4.806403106416872e-05,1.224984225943705e-05,0.22631859755293124
sweep_1945,782.63,55.0,AE_1000-2000kHz,2.93765910307397e-06,2.7065204831452515e-06,6.013021114391601e-07,0.2046875046903696
sweep_595,782.57,45.0,AE_20-500kHz,6.609241211051012e-05,4.0931224097809745e-05,2.9325664830175688e-05,0.443706983808392
sweep_595,782.57,45.0,AE_500-1000kHz,7.077486179145602e-05,6.404459818512467e-05,1.5590066932773704e-05,0.22027689688340366
sweep_595,782.57,45.0,AE_1000-2000kHz,1.7701190423479914e-05,1.4117487423860648e-05,5.871225202183303e-06,0.3316853308574863
sweep_1944,781.63,54.0,AE_20-500kHz,0.00021203672693889236,0.00012969846651737592,0.00011482621280929048,0.5415392628767689
sweep_1944,781.63,54.0,AE_500-1000kHz,5.650974389541075e-05,4.793954008801337e-05,1.4870328339893192e-05,0.26314627026828263
sweep_1944,781.63,54.0,AE_1000-2000kHz,1.9394419214033e-06,1.7772064109482109e-06,4.220830589393496e-07,0.21763119291241667
sweep_1268,781.6,48.0,AE_20-500kHz,6.154663331129869e-05,3.890800841851624e-05,2.6878526282392797e-05,0.436718059726241
sweep_1268,781.6,48.0,AE_500-1000kHz,5.142680681815974e-05,4.461655484305016e-05,1.3082855523288102e-05,0.25439758625395165
sweep_1268,781.6,48.0,AE_1000-2000kHz,1.3617479917643813e-06,1.2249292455329934e-06,3.185365598050635e-07,0.2339174074289208
sweep_594,781.58,45.0,AE_20-500kHz,6.79491788462058e-05,4.324124050329686e-05,3.0134048397286368e-05,0.44347921356770037
sweep_594,781.58,45.0,AE_500-1000kHz,7.472919543983323e-05,6.779643830739634e-05,1.5379811797779023e-05,0.20580727127139728
