model,sensor,n_features,n_nonzero,CV_R²,CV_MAE,CV_RMSE,HO_R²,HO_MAE,HO_RMSE,alpha,l1_ratio,n_estimators,learning_rate
ElasticNet_AE,AE,36,29,0.8137609244680971,0.1140581458259402,0.15259296748029133,0.8255823409051758,0.11081807406846002,0.14653503883856023,0.001,0.7,,
ElasticNet_UL,UL,9,9,0.5232762358196499,0.18395813896139507,0.24413638864613263,0.5360255265518568,0.18112254309704592,0.23899746849453068,0.0001,0.1,,
ElasticNet_Combined,combined,45,45,0.8322353472462896,0.10755682645618364,0.14482693722105125,0.8462352165769619,0.10280626822504015,0.13758614344362935,0.001,0.1,,
Polynomial_AE,AE,20,20,0.7823318383451882,0.12329318942851168,0.1649668075336531,0.7741312265180141,0.12344508847569849,0.1667532679769792,,,,
Polynomial_UL,UL,20,20,0.46741558439123276,0.1916719124853893,0.25804374860374957,0.47671922317362037,0.1926042027998921,0.25381287441227146,,,,
Polynomial_Combined,combined,20,20,0.8035321512039495,0.11480288730993538,0.1567273751709201,0.8018608834511978,0.11360577318403628,0.15618213963035685,,,,
LightGBM_AE,AE,36,36,0.9505663567301359,0.05034213661590188,0.07861590619921957,0.9547615154220768,0.048678515916490785,0.07462773852208361,,,364.0,0.05
LightGBM_UL,UL,9,9,0.7860198630985221,0.11124330755500128,0.16356329307459658,0.7823289035524824,0.11096478980696059,0.16369923109250017,,,227.0,0.05
LightGBM_Combined,combined,45,45,0.9587435385856038,0.04635984389981529,0.07181995076162324,0.9592688550356042,0.04574710637498372,0.07081244114717143,,,394.0,0.05
