fold,r2,mae,rmse,n_val,alpha,l1_ratio
0,0.5145088784186591,0.18362010377707627,0.24156769978843964,1406,0.0001,0.1
1,0.5032653549297332,0.19338063022871332,0.25275947086441464,1405,0.0001,0.1
2,0.5036698416179956,0.18233626692372126,0.23970284786693927,1405,0.0001,0.1
3,0.5096786067498345,0.1847719105681727,0.24671011203495952,1405,0.001,0.7
4,0.5066188859101327,0.19537927337022248,0.258937137558883,1405,0.0001,0.1
