fold,r2,mae,rmse,n_val,alpha
0,0.8057752653930441,0.11343658847118114,0.15279195444681432,1406,1.0
1,0.8113677246584208,0.1163690031085529,0.1557590227169622,1405,1.0
2,0.7991635454484864,0.11389246928810291,0.15247868376653573,1405,1.0
3,0.8019876105838669,0.11401589981177668,0.15678074056180988,1405,1.0
4,0.7958065583551791,0.1180677948705232,0.16658042917957397,1405,1.0
