feature,importance,abs_importance
mobility,1022,1022
spectral_mean,905,905
complexity,793,793
spectral_kurtosis,722,722
kurtosis,686,686
skewness,640,640
crest_factor,623,623
normalized_frequency_std,619,619
dominant_frequency,611,611
