fold,r2,mae,rmse,n_val,alpha
0,0.7915983357067126,0.1198035631944399,0.15827007543140195,1406,3.1622776601683795
1,0.7838420743208634,0.12664026590973504,0.16673654341072006,1405,1.0
2,0.7742337385364405,0.12188618502959402,0.16166551202392318,1405,1.0
3,0.7809504245929556,0.12254063592693773,0.16489889186652526,1405,3.1622776601683795
4,0.7783612978914073,0.12694989127818201,0.17355050481016607,1405,1.0
