fold,r2,mae,rmse,n_val,best_iteration,best_params
0,0.9474855588853537,0.050677507088477326,0.07944884570506161,1406,377,"{'learning_rate': 0.05, 'num_leaves': 63, 'max_depth': -1}"
1,0.9541065584892944,0.0519965269563156,0.07682817643819358,1405,407,"{'learning_rate': 0.05, 'num_leaves': 63, 'max_depth': -1}"
2,0.9504171578613514,0.04918850278755085,0.07576237318087597,1405,420,"{'learning_rate': 0.05, 'num_leaves': 63, 'max_depth': -1}"
3,0.9485899625986748,0.049899436201070284,0.07988596564446751,1405,122,"{'learning_rate': 0.05, 'num_leaves': 63, 'max_depth': -1}"
4,0.9512981611531993,0.050314248826574606,0.08135341004571468,1405,498,"{'learning_rate': 0.05, 'num_leaves': 63, 'max_depth': -1}"
