fold,r2,mae,rmse,n_val,alpha
0,0.4722311175333327,0.18741093451817709,0.25186632656476743,1406,0.31622776601683794
1,0.4593225668052453,0.19688491594509924,0.2637025525348385,1405,1.0
2,0.45391824104417355,0.18744805567989356,0.25142976895326336,1405,0.31622776601683794
3,0.463387822634841,0.19045527626449527,0.2580933360661237,1405,1.0
4,0.4833832239711855,0.1963560491251285,0.26496428253058857,1405,1.0
