fold,r2,mae,rmse,n_val,best_iteration,best_params
0,0.954428558376818,0.04694340833283418,0.07401071529909511,1406,394,"{'learning_rate': 0.05, 'num_leaves': 63, 'max_depth': -1}"
1,0.9632101215916486,0.04707725513121658,0.06878747819746925,1405,164,"{'learning_rate': 0.1, 'num_leaves': 63, 'max_depth': -1}"
2,0.9563986037844885,0.046704872504576375,0.07104574286593873,1405,491,"{'learning_rate': 0.05, 'num_leaves': 63, 'max_depth': -1}"
3,0.9586582122170091,0.04412088584286985,0.07163762115708136,1405,427,"{'learning_rate': 0.05, 'num_leaves': 63, 'max_depth': -1}"
4,0.9598926448953867,0.04730963940605045,0.07382697836082798,1405,495,"{'learning_rate': 0.05, 'num_leaves': 63, 'max_depth': -1}"
