model,model_type,feature_set,mean_rmse,std_rmse,mean_minus_std,n_scores
LightGBM_Combined,LightGBM,Combined,0.07219155422228846,0.003935957687480751,0.0682555965348077,50
LightGBM_AE,LightGBM,AE,0.07798374164938596,0.0038394677825168647,0.07414427386686909,50
ElasticNet_Combined,ElasticNet,Combined,0.14618944572286738,0.005399966257307493,0.1407894794655599,50
ElasticNet_AE,ElasticNet,AE,0.15392679370772375,0.005293733001569843,0.1486330607061539,50
Polynomial_Combined,Polynomial,Combined,0.15714982703244698,0.0045495706116740605,0.15260025642077293,50
LightGBM_UL,LightGBM,UL,0.16271390989286194,0.005454230387948211,0.15725967950491374,50
Polynomial_AE,Polynomial,AE,0.16453136996317064,0.004902160177290459,0.1596292097858802,50
ElasticNet_UL,ElasticNet,UL,0.24804504454280207,0.00622045689275961,0.24182458765004247,50
Polynomial_UL,Polynomial,UL,0.2577214960696954,0.005896741445447408,0.251824754624248,50
