fold,r2,mae,rmse,n_val,alpha,l1_ratio
0,0.8210500045482401,0.11204646162142333,0.14666080475892299,1406,0.001,0.7
1,0.8198039403585041,0.1157170702575618,0.152236172669409,1405,0.001,0.7
2,0.7997899266208573,0.1163568161193946,0.15224071809510736,1405,0.001,1.0
3,0.8122706832602928,0.1120298193968922,0.15265554324018696,1405,0.001,0.5
4,0.7982825302480904,0.12083963605270066,0.16556740350716234,1405,0.001,0.5
