fold,r2,mae,rmse,n_val,alpha,l1_ratio
0,0.839726366415675,0.10531356074069699,0.13879673797713044,1406,0.001,0.1
1,0.840005473628109,0.10902332975603111,0.143449082381112,1405,0.001,0.1
2,0.8142897924656527,0.11086081012117044,0.14662423155938298,1405,0.01,0.1
3,0.8283026761625291,0.10666326576450418,0.1459917425607594,1405,0.001,0.1
4,0.8176879274293996,0.11377670467571943,0.15740219929557064,1405,0.001,0.1
