sensor,band,stat,type,marg_rpm,marg_temp,cond_rpm,cond_temp
AE,broadband,center_frequency,spec,-0.8291070538186547,-0.0935285584695993,-0.7976963837885052,-0.403302130319536
AE,broadband,complexity,cplx,0.825344657895659,0.1053298709742048,0.8190342623929708,0.4179625328143999
AE,broadband,crest_factor,shape,0.3893650505191688,-0.1865613485037386,0.3764863287463306,-0.322150683154217
AE,broadband,kurtosis,shape,0.369627571712306,-0.1851232207304848,0.3651250197877071,-0.4258247438382373
AE,broadband,margin_factor,shape,0.4995314290060677,-0.2069713589510797,0.4960233593361839,-0.3162334114533841
AE,broadband,mobility,cplx,-0.8300610885268567,-0.1535186904028497,-0.8113072375091878,-0.4681707351649494
AE,broadband,rms,amp,0.8659069700287784,0.0656682229285566,0.8610691526783089,0.2935192182093503
AE,broadband,shape_factor,shape,0.7355717931852307,-0.1485464553435113,0.7318102142312902,0.0216550006901462
AE,broadband,spectral_kurtosis,spec,0.4376533884065887,0.0849902430177621,0.3596928785110194,0.0716924412347713
AE,broadband,spectral_skewness,spec,0.5074952404831801,0.1021186573752655,0.407598210723704,0.0665782450950348
AE,20-500kHz,center_frequency,spec,-0.7996284058040345,-0.102442203845459,-0.807375102494736,-0.4383544541003377
AE,20-500kHz,complexity,cplx,0.6711525086853256,0.0530900367710979,0.6846549700243276,0.277422071458179
AE,20-500kHz,crest_factor,shape,0.2599896661477507,-0.108001453680312,0.2643894514268839,-0.2559995731765799
AE,20-500kHz,dominant_frequency,spec,-0.5640349439051004,-0.1826437538699834,-0.6150106658229849,-0.4343864339264683
AE,20-500kHz,margin_factor,shape,0.3589010967954392,-0.1449846109945792,0.3447741815335602,-0.2213373989182624
AE,20-500kHz,mobility,cplx,-0.8115290312423862,-0.1522189161651514,-0.8261483485958204,-0.5607400847125807
AE,20-500kHz,rms,amp,0.8658961009089029,0.0653357811474875,0.8594201406695327,0.2772749935337316
AE,20-500kHz,shape_factor,shape,0.5926305207710021,-0.1572312945810246,0.587625581223189,-0.1474813775312937
AE,20-500kHz,skewness,shape,-0.0352731835295792,0.2535272936994552,-0.0433737117923142,0.2116236823298654
AE,20-500kHz,spectral_bandwidth,spec,-0.2513975500471192,0.0543381626340572,-0.227531426838482,0.0043021756822805
AE,20-500kHz,spectral_flatness,spec,-0.2518418127554275,0.0451657378007591,-0.2442610960038029,0.0034009299584132
AE,20-500kHz,spectral_kurtosis,spec,0.4893237056659341,-0.0409996965009064,0.4382122393190579,0.0407215773092251
AE,20-500kHz,spectral_skewness,spec,0.5133177895770958,-0.0068656797114118,0.4394544399177278,0.0729161776790683
AE,500-1000kHz,center_frequency,spec,0.7457529700309914,-0.3241053899236522,0.7402555728063579,-0.3925934633016286
AE,500-1000kHz,complexity,cplx,-0.6893946192216274,0.1785995124977011,-0.6776351716618947,0.1485737929866086
AE,500-1000kHz,crest_factor,shape,0.6481272612004496,-0.1463076123945868,0.586738602923664,-0.0503674969226541
AE,500-1000kHz,dominant_frequency,spec,0.6306552785948765,-0.2569173355661646,0.6047256201846682,-0.2567448938773264
AE,500-1000kHz,kurtosis,shape,0.5854124230656197,-0.1105149414141819,0.4933670876610878,-0.0379070366874271
AE,500-1000kHz,margin_factor,shape,0.5971037637911576,-0.147492768701379,0.503239400666236,-0.0284813049094028
AE,500-1000kHz,mobility,cplx,0.8774744632889456,-0.3098836942044622,0.8905452333062519,-0.4972299750824288
AE,500-1000kHz,rms,amp,0.6052555395644615,-0.2043463441098073,0.6485987153684175,-0.1259429281275324
AE,500-1000kHz,shape_factor,shape,-0.3077768392541867,-0.0034617235244435,-0.2564300807238298,-0.0607300259198322
AE,500-1000kHz,skewness,shape,0.4950741266857855,-0.042838537082624,0.4437759670382092,0.0073131272333408
AE,500-1000kHz,spectral_bandwidth,spec,-0.1175759785963037,0.0378024549946772,-0.1327426246487209,0.0107097092925278
