sensor,ftype,n,cond_rpm,cond_temp
AE,amplitude,3,0.7896960029054196,0.23224571329020474
AE,complexity,6,0.7848875372484089,0.3950165320365244
AE,shape,13,0.4225506913146528,0.16208498944343408
AE,spectral,14,0.4451308980304994,0.15982556526269004
US,amplitude,4,0.8835030002866766,0.5002465313352183
US,complexity,6,0.3496984171775764,0.6109933525446493
US,shape,15,0.4561560073596614,0.34135838972707006
US,spectral,10,0.17710854003244686,0.1281456166126164
