sensor,band,n,cond_rpm,cond_temp
AE,20-500kHz,13,0.4909408735124938,0.2266123792550989
AE,500-1000kHz,13,0.4919484914120433,0.12757300278782707
AE,broadband,10,0.6025843047705208,0.2807089141974026
US,0-10kHz,8,0.45943069744050163,0.48712291088251103
US,10-20kHz,10,0.29725290739156024,0.19337783257539676
US,20-100kHz,9,0.41310289890145285,0.2780919786572121
US,broadband,8,0.4849659089223579,0.46689860398900235
