channel,target,feature,band,ftype,mean_abs_shap,frac
AE,Temp,AE_500-1000kHz__mobility,500-1000kHz,complexity,4.501594651516719,0.16228087668543958
AE,Temp,AE_500-1000kHz__rms,500-1000kHz,amplitude,1.2180444950186755,0.043910068274784574
AE,Temp,AE_500-1000kHz__shape_factor,500-1000kHz,shape,0.5497972626766485,0.019819994622652236
AE,Temp,AE_500-1000kHz__skewness,500-1000kHz,shape,0.2647618237535961,0.00954456902446625
AE,Temp,AE_500-1000kHz__spectral_bandwidth,500-1000kHz,spectral,0.10190837844923195,0.003673760584098983
AE,Temp,AE_500-1000kHz__spectral_kurtosis,500-1000kHz,spectral,0.086726327571802,0.0031264530815360483
AE,Temp,AE_500-1000kHz__spectral_skewness,500-1000kHz,spectral,0.22100031495870204,0.00796698228863693
AE,Temp,AE__center_frequency,broadband,spectral,0.15806689639211766,0.005698255064528466
AE,Temp,AE__complexity,broadband,complexity,0.16372473034034798,0.0059022179542013746
AE,Temp,AE__crest_factor,broadband,shape,0.07843349817532354,0.002827499548656343
AE,Temp,AE__kurtosis,broadband,shape,0.2907631675478443,0.010481908165943245
AE,Temp,AE__margin_factor,broadband,shape,0.162320676071161,0.005851602300115144
AE,Temp,AE__mobility,broadband,complexity,1.6611671011556108,0.059884479693371524
AE,Temp,AE__rms,broadband,amplitude,0.5563622162628459,0.02005665885074047
AE,Temp,AE__shape_factor,broadband,shape,0.3771503931195406,0.013596136741693458
AE,Temp,AE__spectral_kurtosis,broadband,spectral,0.08812817359924173,0.0031769891292973166
AE,Temp,AE__spectral_skewness,broadband,spectral,0.1022840502097,0.0036873034166625893
US,RPM,US_0-10kHz__crest_factor,0-10kHz,shape,5.079592795847517,0.0035584887710018425
US,RPM,US_0-10kHz__dominant_frequency,0-10kHz,spectral,6.49556418307837,0.004550441961745786
US,RPM,US_0-10kHz__kurtosis,0-10kHz,shape,5.968677659480589,0.004181333678233845
US,RPM,US_0-10kHz__margin_factor,0-10kHz,shape,3.0860428293359017,0.0021619151763503323
US,RPM,US_0-10kHz__mobility,0-10kHz,complexity,14.71144968569655,0.0103060482632595
US,RPM,US_0-10kHz__rms,0-10kHz,amplitude,65.33912208600489,0.045773065203226285
US,RPM,US_0-10kHz__shape_factor,0-10kHz,shape,11.676130287485023,0.008179667187246959
US,RPM,US_0-10kHz__skewness,0-10kHz,shape,3.017489257714517,0.0021138902411574584
US,RPM,US_10-20kHz__center_frequency,10-20kHz,spectral,4.8664642132830505,0.0034091823800535
US,RPM,US_10-20kHz__complexity,10-20kHz,complexity,10.640842739931198,0.007454400564351521
US,RPM,US_10-20kHz__crest_factor,10-20kHz,shape,9.014406910499469,0.006315007335721229
US,RPM,US_10-20kHz__kurtosis,10-20kHz,shape,24.331538846656503,0.01704536391928953
US,RPM,US_10-20kHz__margin_factor,10-20kHz,shape,15.713484094209369,0.011008019530280206
US,RPM,US_10-20kHz__mobility,10-20kHz,complexity,71.19372772348073,0.049874486174732696
US,RPM,US_10-20kHz__rms,10-20kHz,amplitude,251.3788180144593,0.17610244307445896
US,RPM,US_10-20kHz__shape_factor,10-20kHz,shape,70.30053069751345,0.049248760508337715
US,RPM,US_10-20kHz__spectral_bandwidth,10-20kHz,spectral,4.065847678521456,0.002848313612943558
US,RPM,US_10-20kHz__spectral_flatness,10-20kHz,spectral,3.8321740578903634,0.0026846144763169283
US,RPM,US_20-100kHz__center_frequency,20-100kHz,spectral,4.140922811051056,0.0029009072020018097
US,RPM,US_20-100kHz__complexity,20-100kHz,complexity,24.985716042802547,0.017503645183219618
US,RPM,US_20-100kHz__crest_factor,20-100kHz,shape,19.872649583805256,0.013921706569045279
US,RPM,US_20-100kHz__dominant_frequency,20-100kHz,spectral,33.28965192530127,0.023320934832332278
US,RPM,US_20-100kHz__mobility,20-100kHz,complexity,9.020058760254443,0.0063189667168560525
US,RPM,US_20-100kHz__rms,20-100kHz,amplitude,7.5588138874221,0.005295297363692807
US,RPM,US_20-100kHz__spectral_bandwidth,20-100kHz,spectral,3.1093776519658465,0.0021782622946409677
US,RPM,US_20-100kHz__spectral_flatness,20-100kHz,spectral,1.562171271503682,0.0010943729451250283
US,RPM,US_20-100kHz__spectral_skewness,20-100kHz,spectral,1.3616900494496227,0.0009539266128797943
US,RPM,US__complexity,broadband,complexity,11.027074167286974,0.0077249734729470864
US,RPM,US__crest_factor,broadband,shape,3.0896082875328634,0.002164412944078434
US,RPM,US__dominant_frequency,broadband,spectral,3.043992523160808,0.0021324569996115225
US,RPM,US__kurtosis,broadband,shape,12.133209024003826,0.008499871899856109
US,RPM,US__margin_factor,broadband,shape,3.1450849461603285,0.0022032768992639594
US,RPM,US__rms,broadband,amplitude,687.3981343725602,0.4815540616507718
US,RPM,US__shape_factor,broadband,shape,15.566766258999147,0.01090523692740541
US,RPM,US__skewness,broadband,shape,6.441043094730357,0.004512247427564266
US,Temp,US_0-10kHz__crest_factor,0-10kHz,shape,0.11223282688625087,0.004383363849832024
US,Temp,US_0-10kHz__dominant_frequency,0-10kHz,spectral,1.0546973580815995,0.04119224651281221
