target,n,cmd_hz_mean,meas_mean,meas_std,meas_over_target,meas_over_cmd_hz
600.0,1,2.6713319999999996,526.37,,0.8772833333333333,197.04402148441307
700.0,5,6.112486933333336,731.1479999999999,6.137566292920961,1.0444971428571428,119.61547042543638
800.0,4,6.841420666666669,760.72,35.613684635731424,0.9509000000000001,111.19327944653988
900.0,106,9.888277547169812,955.8612264150944,0.6440817795312992,1.0620680293501048,96.66610002150249
1000.0,188,13.044063439716314,1144.6349468085107,1.0421283740296259,1.1446349468085106,87.75140906807829
1100.0,211,16.199752733017377,1333.4569668246445,1.3948153295888466,1.2122336062042223,82.31341482804682
1200.0,221,19.356495203619907,1521.7523981900454,1.2700705580961325,1.2681269984917045,78.61714541718578
1300.0,225,22.511820800000002,1710.7562666666665,2.1741632873361385,1.3159663589743589,75.99368713288027
1400.0,160,25.67084141666666,1897.9126250000002,2.190652666164452,1.3556518750000002,73.93262239420754
1500.0,128,28.83101765625,2084.491171875,3.4581777143583756,1.38966078125,72.30029812780899
1600.0,159,31.990405911949686,2271.463710691824,2.3394450692902384,1.41966481918239,71.00452919990434
1700.0,180,35.105954777777775,2480.3559444444445,198.79484014665854,1.459032908496732,70.65342504270873
1800.0,187,38.28056085561497,2659.719572192513,161.91285608107893,1.4776219845513963,69.47963960675322
1900.0,155,41.45187888172043,2840.7272258064513,1.454922471038343,1.4951195925297112,68.53072291155331
2000.0,122,44.6831406010929,2991.7630327868856,238.77909330208155,1.4958815163934427,66.9550750583031
2100.0,118,48.15932881355932,3020.335593220339,386.93245375667044,1.4382550443906377,62.715483534105225
2200.0,144,51.596757499999995,3068.2879166666667,526.8526637805793,1.3946763257575758,59.46668095697035
2300.0,126,54.97338238095239,3146.642142857143,692.0372823351152,1.3681052795031057,57.2393767051055
2400.0,141,58.27106042553192,3264.4697872340425,835.7494880033205,1.360195744680851,56.02214484162175
2500.0,250,59.877281786666664,3083.0657600000004,534.1301060990552,1.2332263040000002,51.48974148466657
2600.0,276,59.99963400966184,3159.497463768116,699.3931332634675,1.2151913322185062,52.658612271857145
2700.0,273,60.0,3201.988937728938,785.3397513323545,1.1859218287884954,53.3664822954823
2800.0,273,60.0,3185.1438461538464,767.6741536669804,1.1375513736263738,53.08573076923077
2900.0,273,60.0,3197.885787545788,791.4457300456909,1.1027192370847545,53.29809645909646
3000.0,141,60.0,3199.4914184397167,790.7476695422787,1.0664971394799057,53.324856973995274
