fold,r2,mae,rmse,n_val,best_iteration,best_params
0,0.9464491988510976,0.05545060275679119,0.08702728128429411,1445,200,"{'learning_rate': 0.05, 'num_leaves': 63, 'max_depth': -1}"
1,0.9507526657924786,0.05542441192924812,0.08309294845935283,1445,374,"{'learning_rate': 0.05, 'num_leaves': 63, 'max_depth': -1}"
2,0.9530368847164294,0.052615542698619074,0.07880921580507924,1444,122,"{'learning_rate': 0.05, 'num_leaves': 63, 'max_depth': -1}"
3,0.9375434891998343,0.05986746582722938,0.09438316267675967,1444,324,"{'learning_rate': 0.05, 'num_leaves': 31, 'max_depth': -1}"
4,0.9328073531253938,0.057961204392307064,0.0935019271118873,1444,297,"{'learning_rate': 0.05, 'num_leaves': 31, 'max_depth': -1}"
