fold,r2,mae,rmse,n_val,best_iteration,best_params
0,0.9006727486761892,0.0799626380407142,0.11852409254740909,1445,180,"{'learning_rate': 0.05, 'num_leaves': 31, 'max_depth': -1}"
1,0.9100436086417449,0.07935644974988508,0.1123023434399355,1445,319,"{'learning_rate': 0.05, 'num_leaves': 31, 'max_depth': -1}"
2,0.9191187976900098,0.07317953978794674,0.10342424430671823,1444,149,"{'learning_rate': 0.05, 'num_leaves': 63, 'max_depth': -1}"
3,0.9040542643601955,0.07990841512025973,0.11698185543808062,1444,264,"{'learning_rate': 0.05, 'num_leaves': 31, 'max_depth': -1}"
4,0.8949425055757347,0.07779336870472975,0.116915800281734,1444,199,"{'learning_rate': 0.05, 'num_leaves': 63, 'max_depth': 6}"
