fold,r2,mae,rmse,n_val,alpha
0,0.7594160134820434,0.13795688777426937,0.18446152241677227,1445,3.1622776601683795
1,0.7526070430137494,0.1413698782591815,0.1862372165065067,1445,3.1622776601683795
2,0.7543631973757083,0.13625655829889224,0.18023754982900006,1444,3.1622776601683795
3,0.7229277209654648,0.14891737312206793,0.19879351157594993,1444,3.1622776601683795
4,0.7406065992026936,0.13670177460382402,0.18371268681842506,1444,3.1622776601683795
