feature,importance,abs_importance
US_0-10kHz__mobility,885,885
US_20-100kHz__complexity,851,851
US_0-10kHz__kurtosis,821,821
US_10-20kHz__mobility,813,813
complexity,774,774
US_10-20kHz__crest_factor,730,730
skewness,623,623
US_0-10kHz__dominant_frequency,588,588
US_10-20kHz__spectral_bandwidth,578,578
US_10-20kHz__complexity,557,557
US_20-100kHz__spectral_bandwidth,376,376
US_20-100kHz__spectral_skewness,204,204
