fold,r2,mae,rmse,n_val,alpha
0,0.6982468130450046,0.1591430887270557,0.20658479950335115,1445,1.0
1,0.7044449529274075,0.16006986800128348,0.20355979099801869,1445,1.0
2,0.698416780419779,0.15573489309189542,0.19971107238103744,1444,1.0
3,0.6763209626223474,0.16678581226413716,0.2148636523433321,1444,1.0
4,0.6569946990421065,0.16110625601343528,0.21125651114596788,1444,1.0
