feature,importance,abs_importance
AE_500-1000kHz__rms,925,925
AE_500-1000kHz__mobility,895,895
AE_20-500kHz__rms,807,807
AE_500-1000kHz__crest_factor,735,735
AE_20-500kHz__skewness,590,590
shape_factor,586,586
AE_500-1000kHz__skewness,524,524
margin_factor,495,495
AE_500-1000kHz__spectral_kurtosis,381,381
AE_20-500kHz__spectral_skewness,368,368
spectral_skewness,354,354
