fold,r2,mae,rmse,n_val,alpha,l1_ratio
0,0.6275540100525123,0.17047825762493182,0.22951130456368218,1445,0.0001,0.1
1,0.6251032131018484,0.17116874515489436,0.22926019919716492,1445,0.0001,0.1
2,0.6297906322176714,0.16565923169493638,0.22126985896605866,1444,0.0001,0.1
3,0.5995005110836009,0.17819410178302372,0.23900481478979094,1444,0.0001,0.1
4,0.5869762848965236,0.17337903287759662,0.23181801443834738,1444,0.0001,0.1
