fold,r2,mae,rmse,n_val,alpha,l1_ratio
0,0.6098237237386332,0.17264235766224434,0.23491073300290238,1445,0.01,0.1
1,0.6162593342340565,0.173190308940135,0.23194858028922447,1445,0.01,0.1
2,0.5891637770238973,0.17373333476188052,0.23309498025482314,1444,0.01,0.1
3,0.5941990691324848,0.17685250030530555,0.24058147672736724,1444,0.01,0.1
4,0.6020783324063035,0.1696664684794848,0.22754038117251513,1444,0.01,0.1
