fold,r2,mae,rmse,n_val,alpha
0,0.657248573638414,0.15323454336419653,0.220171988905768,1445,100.0
1,0.626185295164503,0.15896539187407321,0.22892909790910132,1445,31.622776601683793
2,0.612179033798929,0.15861978633266074,0.22647183503751783,1444,100.0
3,0.614702047296976,0.16138255900284698,0.23442505012990866,1444,100.0
4,0.6486212479546667,0.14929173508967516,0.21381956187838752,1444,100.0
