model,sensor,n_features,n_nonzero,CV_R²,CV_MAE,CV_RMSE,HO_R²,HO_MAE,HO_RMSE,alpha,l1_ratio,n_estimators,learning_rate
ElasticNet_AE,AE,11,11,0.6257992300667155,0.16644860170969422,0.22675371967325694,0.49061403661946756,0.15166150242808493,0.19160704395870634,0.0001,0.1,,
ElasticNet_US,UL,12,12,0.6221637348492548,0.16751263635351693,0.22785255424752934,0.46263220470412714,0.1491619111377927,0.1967994144009903,0.01,0.1,,
ElasticNet_Combined,combined,23,23,0.7337408833966912,0.1400731877613427,0.19127328865954574,0.5930701823426512,0.1341186350947734,0.1712567669584703,0.0001,0.1,,
Polynomial_AE,AE,20,20,0.701088797725639,0.15744612757721774,0.20266239807025177,0.487234714772916,0.15513979934406788,0.1922415643068416,,,,
Polynomial_US,UL,20,20,0.636090853385542,0.15576916141806285,0.22361378219300476,0.33338127133128226,0.1630980524887465,0.21919302973210242,,,,
Polynomial_Combined,combined,20,20,0.7515700115271231,0.13813173830034797,0.18475835685460215,0.6771384412989789,0.11611160371323524,0.15254435946847497,,,,
LightGBM_AE,AE,11,11,0.90581119983122,0.07803818979797442,0.1137631775405048,0.8337444595321577,0.08174791109507536,0.109465193134443,,,222.0,0.05
LightGBM_US,UL,12,12,0.8024298382956532,0.10471062393888561,0.16476416404679461,0.6527384691900109,0.10545148162431689,0.15820358540651974,,,260.0,0.05
LightGBM_Combined,combined,23,23,0.9441963318402927,0.05626117047746101,0.08756558538841336,0.9080468860957809,0.055822473483748615,0.08140877214314729,,,263.0,0.05
