fold,r2,mae,rmse,n_val,alpha,l1_ratio
0,0.7298005301225912,0.1428255970707832,0.19548555720107086,1445,0.0001,0.1
1,0.7306906009861056,0.14369663192049975,0.19431152564029305,1445,0.0001,0.1
2,0.7255416072669282,0.14100598929916944,0.19051835145457624,1444,0.0001,0.1
3,0.7148087778948202,0.14988260392821065,0.20168506711898812,1444,0.0001,0.1
4,0.7070221036346093,0.14500068144087191,0.19524373877279208,1444,0.0001,0.1
