,AE_1000-2000kHz__complexity,AE_500-1000kHz__normalized_frequency_std,shape_factor,AE_500-1000kHz__dominant_frequency,AE_500-1000kHz__peak,AE_1000-2000kHz__complexity^2,AE_1000-2000kHz__complexity AE_500-1000kHz__normalized_frequency_std,AE_1000-2000kHz__complexity shape_factor,AE_1000-2000kHz__complexity AE_500-1000kHz__dominant_frequency,AE_1000-2000kHz__complexity AE_500-1000kHz__peak,AE_500-1000kHz__normalized_frequency_std^2,AE_500-1000kHz__normalized_frequency_std shape_factor,AE_500-1000kHz__normalized_frequency_std AE_500-1000kHz__dominant_frequency,AE_500-1000kHz__normalized_frequency_std AE_500-1000kHz__peak,shape_factor^2,shape_factor AE_500-1000kHz__dominant_frequency,shape_factor AE_500-1000kHz__peak,AE_500-1000kHz__dominant_frequency^2,AE_500-1000kHz__dominant_frequency AE_500-1000kHz__peak,AE_500-1000kHz__peak^2
0,-1.5255221642313348,-0.07923327011908486,0.017762537068024956,0.5128472797306488,0.007882146958946458,2.169745810779406,0.465214358405193,0.30636455740936686,-2.9962965276229108,0.00905238347021637,0.021203445898381603,-0.14093487867691346,-0.09139367385107716,0.007500093200615934,0.009090054166567173,0.1880659037342975,-0.014661363909765602,0.6852986603958144,-0.14110849030585343,0.05624276674507628
1,-1.5119921553931364,-0.06900281423609401,0.017313677817740878,0.44591060159969587,0.007981534040188192,2.1261009875033308,0.3845548361023787,0.2926731841806197,-2.5347401402497183,0.009091289859926407,0.012348323739060446,-0.10720059320938684,-0.0636344352137984,0.006221105044219423,0.007778377663421324,0.15278197395068374,-0.01434613081464216,0.4978349262521738,-0.12119211356811639,0.05998971357209387
2,-1.4801529495013426,-0.08050877476801498,0.018993205216603175,0.4457959840001565,0.007972984546731851,2.0249576136029113,0.457497996085792,0.32226460039067745,-2.47394720734047,0.00884221293244151,0.02239839306386668,-0.16044832789323224,-0.07825875239947636,0.007793561409590465,0.012870867250577282,0.17241614211326578,-0.016516764645711498,0.49753696203526887,-0.12100119413504415,0.05966553737564842
3,-1.4755773604904305,-0.0768501378123692,0.017993398304920676,0.4438474848079884,0.007786806052347645,2.0106026446592957,0.42938502070735485,0.2987615796531122,-2.4530476918303825,0.008554990181399928,0.019024839035037672,-0.13706887151969954,-0.07318637226175484,0.007056166334134634,0.009778694291145222,0.15981224812758155,-0.014695250785444,0.4924836195963071,-0.11703904260048081,0.0526927237588611
4,-1.5203962346520303,-0.08728018667565003,0.018014257206519224,0.4464836895973924,0.007768256235687961,2.153164084473363,0.5231073390017197,0.3108320856484739,-2.5543159182610116,0.008854991510551257,0.029079692599377312,-0.16713645456971352,-0.08704579562484364,0.008429912346032173,0.009841383363712338,0.1612559223117375,-0.014670394043433217,0.4993259286355626,-0.11755010133072082,0.05200706461325998
5,-1.5131314139054122,-0.0783799572509552,0.01790599554839599,0.4447644256043028,0.007687693770240567,2.1297607111878536,0.4542765211331911,0.3064790742537483,-2.5294850110032803,0.008689895369352475,0.020415279271771267,-0.14033666936757389,-0.07532447969485108,0.007134197408068565,0.00951685981141972,0.15920729878163284,-0.014310614442735223,0.4948588279797197,-0.1155598125105591,0.049048303200140676
6,-1.4661384309273526,-0.08446438295934482,0.018781406162967012,0.44304516161121327,0.00780766810400935,1.9811330663720503,0.48050637515017064,0.3137419316478968,-2.4303054593198263,0.00851451371279718,0.02623236117850599,-0.16952868753416245,-0.08264618083845782,0.008107548119810765,0.012200923654797819,0.1686243090546127,-0.015760690063775347,0.49040944680684745,-0.11715380107044328,0.05346581494023712
7,-1.498343812422619,-0.10354879107150498,0.018791232513608543,0.4446498080047635,0.007795115685268835,2.0824757775537655,0.6331155409154948,0.322683779328188,-2.5009268718556745,0.00873206495748878,0.047453813317376956,-0.2267244814456084,-0.10725262164649153,0.010655315774168376,0.012231828323007328,0.1695030641632157,-0.01573682831859323,0.4945616512953915,-0.1174445667861434,0.05300040703812099
8,-1.54044730014951,-0.09888844037718247,0.018386022400100184,0.4416697504167416,0.00792111732287754,2.2183505014840343,0.618832871715814,0.3246683642376826,-2.560524049085658,0.009217643785591026,0.041855177228450634,-0.20628385181731324,-0.10050818703832022,0.010235637806853987,0.010971710730699738,0.16337971339685872,-0.01557676304606231,0.48686269989628833,-0.11872696207589117,0.057706344790484525
9,-1.5391442036881215,-0.08708703069758365,0.018102495378785607,0.4424720736135167,0.00790430250025767,2.2140876765260282,0.5294054361893711,0.3177369120430186,-2.5633635531646832,0.009184134407847563,0.028881235716005944,-0.1678244953102978,-0.08582405313427527,0.008599424066346827,0.010107432508562306,0.16045560156490182,-0.015162026041360084,0.48893025741210566,-0.11868916478937418,0.05707395410918347
