,skewness,crest_factor,kurtosis,mobility,complexity,dominant_frequency,spectral_mean,spectral_kurtosis,normalized_frequency_std
0,0.010852358383218259,0.02272668596292185,0.03612294598527297,0.14290363381689072,-0.02152870346147215,0.05973978090942327,-0.39659479454117325,-0.14595517392701154,0.018471356556692405
1,0.0033312422205858667,0.047601380374196874,0.04615924004881281,0.1601790921380864,-0.03618608953518043,0.05665589966150503,-0.36454378332013326,-0.175459808164871,-0.010502160862656216
2,0.033873302448140026,-0.003094863937075363,0.004106063114050181,0.15909782235273173,-0.05186670714637264,0.044600869684679585,-0.3836209216328008,-0.18899498089392927,-0.010031271011645207
3,0.0069451445249331745,-0.03440622342061915,-0.010813434941179865,0.15294295359360452,-0.05048915151236966,0.04563549679722383,-0.37951683157816546,-0.16441002413996747,-0.002947428525397173
4,0.023548354937667323,-0.031522990779725334,-0.026505126760333297,0.1689283265632935,-0.0370635850587396,0.048965240449571526,-0.3866710248329019,-0.16159843507157012,-0.0014746136670242705
5,0.010875971778995954,-0.010916590879230132,0.023137172622984776,0.15992789581532144,-0.03957045010983609,0.050926502780496936,-0.3761297598414292,-0.17428774411280987,-0.023815865923544264
6,-0.008983676077652764,-0.03546196912054874,-0.0238736618321829,0.1703587756675845,-0.05519905917934852,0.051595350866076986,-0.36718277646751696,-0.16010969709690226,-0.007101915256519773
7,0.00198298034289809,-0.02904198797969425,-0.016759110160617055,0.15835919351526223,-0.04271529269648345,0.054858706009500637,-0.37096598754981647,-0.16839089832359547,-0.003386268674004674
8,-0.013102533568091665,-0.04061681337165975,-0.010348932599135982,0.16809780640073063,-0.057093058462875726,0.052497098555539884,-0.37595228241374834,-0.14122127610879454,0.010253505490280793
9,-0.0016568724002806172,-0.007887681798629819,0.008235073687786521,0.16447959926906633,-0.05046803613227893,0.052666819362053106,-0.35615000560156845,-0.1566417920153534,-0.029745423200985183
10,-0.006730848001658389,0.01611470198659498,0.02410949647122588,0.03192998184044676,0.03416164928978714,0.09713188385387442,-0.30949164490180836,-0.06915048968608654,0.009493232958449711
11,0.009608775055365136,0.005232051208133463,0.019996161546345204,0.11487908411552834,0.03453151743426092,0.06999417805068966,-0.34093064695164976,-0.10573891141538092,0.007735068635019012
12,-0.0014663391787783163,0.011655409378347109,0.007853567200506166,0.1236597758320606,0.04643605009795315,0.06628994416865742,-0.3383714101941614,-0.11814692136394987,0.012555333315361324
13,0.03486544344488086,0.011332327788143108,0.019039502362968093,0.04228460734937533,0.03735246879753837,0.08841790645798416,-0.30714505105115975,-0.09394651211628094,-0.009069973054814074
14,-0.009042111181581967,0.01612125795631444,0.03262668961220258,-0.03782474240788931,0.028837521973421522,0.05662214071847913,-0.28235319362943334,-0.06821556435421869,0.032620765168841014
15,-0.0018603389144078483,0.001960594285655182,0.021852525305663426,0.06465687628934287,0.03893917664479975,0.08157265060041145,-0.3126345487900569,-0.10284800582290597,0.012574843850545633
16,-0.006032506207896145,0.019714469643165793,0.025367409010541183,-0.052399269196426505,0.02183899470520038,0.08364985723640576,-0.25038333212856345,-0.06188591993291711,0.0012548823066397099
