,peak,skewness,shape_factor,margin_factor,dominant_frequency,peak_frequency,frequency_skewness,frequency_kurtosis,AE_20-500kHz__skewness,AE_20-500kHz__complexity,AE_20-500kHz__dominant_frequency,AE_20-500kHz__rms_frequency,AE_20-500kHz__spectral_flatness,AE_20-500kHz__frequency_skewness,AE_500-1000kHz__peak,AE_500-1000kHz__skewness,AE_500-1000kHz__crest_factor,AE_500-1000kHz__shape_factor,AE_500-1000kHz__complexity,AE_500-1000kHz__dominant_frequency,AE_500-1000kHz__spectral_std,AE_500-1000kHz__spectral_kurtosis,AE_500-1000kHz__normalized_frequency_std,AE_500-1000kHz__frequency_kurtosis,AE_1000-2000kHz__peak,AE_1000-2000kHz__skewness,AE_1000-2000kHz__crest_factor,AE_1000-2000kHz__kurtosis,AE_1000-2000kHz__impulse_factor,AE_1000-2000kHz__mobility,AE_1000-2000kHz__complexity,AE_1000-2000kHz__dominant_frequency,AE_1000-2000kHz__spectral_kurtosis,AE_1000-2000kHz__rms_frequency,AE_1000-2000kHz__peak_frequency,AE_1000-2000kHz__frequency_kurtosis
0,0.010353964990433256,-0.006095982388579953,-0.003856491444360911,-0.008320996946469362,0.003535557806838921,0.0891088677784446,-0.007884815923857175,0.003666971585142677,-0.0033610875802135634,0.04972189547570834,0.020625639840508077,0.0007715575277857229,-0.0002495747596191265,-0.0002452643854985439,-0.0024175017760488,-0.0015244890085063323,-0.003911409084969094,0.020578607599551473,-0.01529071311473489,0.029984305623229218,-0.008410681655233116,-0.0062899027433874705,-0.08771544742616527,-0.007313888705604657,0.0011684246402857469,-0.008834584386867152,-0.008057037236186974,-0.01085601713854949,-0.0022937452356746545,0.04998929531965889,-0.22515323549454147,0.00555538291926527,0.03827004942335635,0.017392526969128196,0.05533409459895816,0.0016537597861323384
1,0.014298654092539094,0.06888815184083268,-0.001920929164056177,-0.008234269150514128,0.0034950865021757135,0.1104048784700158,-0.008160279934036403,-0.0005567993943358357,0.0007956471674777754,0.050865234594000906,0.02075719153282056,0.0004363658978323934,0.00012075280108313333,-0.0021881613224592595,-0.01646942515719503,0.008038056245135062,-1.0413332597932423e-05,0.03660718101840076,-0.008398161797863355,0.08444377777988288,-0.009510923536768266,-0.004878786892254709,-0.08714086812198467,-0.00670569755769658,0.004081880330359313,0.0003739422748773278,-0.007606150928637955,-0.006633110879872997,-0.0005208345429098811,0.05021180358743908,-0.21278278064863093,0.0066866242203658674,0.0076904144168917915,0.023983264635744888,0.04984580334065256,-0.0004706167141094623
2,0.011121619511862498,-0.003506604137557232,-0.003683885006761689,0.005807997497932908,0.003191022642827554,0.06681279636509085,-0.018231436062902426,-0.007572067238143309,-0.0008132738988378294,-0.014417136128579219,-0.01392244651822492,0.0015977258466019527,0.00046143862741160113,0.0013392667955734025,-0.0051423326430454185,0.007632392052680854,-0.003176499114859521,0.007695041824007783,-0.038467125401759145,0.060670509917251376,-0.009549139397164431,-0.0004121417868284885,-0.1019760121919389,-0.004040066001886803,0.0018182004878236266,-0.005928213680092577,-0.005779915154360579,-0.01140812204640473,-0.003669456888353413,0.04640633807329109,-0.21095530663024142,0.004922494133574242,0.004987113917049592,-0.007136792908854379,0.04944820466667523,2.525458657091475e-05
3,0.009706242405869439,0.014448055921853128,-0.0030374560247371117,-0.007988003087216604,0.004079342130305409,-0.0011251049260835426,-0.015340877440382624,-7.083343699254746e-05,-0.001090691904488376,-0.00509008938448597,-0.021902191286654375,-0.0040320173547819145,-0.0033191408134231526,0.002634994989633282,-0.0021673622623222546,0.0021511384590623974,-0.0050329669976489945,0.009047590907494938,-0.06645650056387643,-0.002495712902479456,-0.01313780419684631,-0.0020418912312499446,-0.1214653332112273,-0.0037613510115826476,0.001877875823886022,-0.006930220939013827,-0.006446975139064831,-0.0065996214784428,-0.0035246837902579466,0.04900528809093428,-0.23875555250409747,0.04133515857105711,0.0001183900055512573,0.0052615017832812515,-0.001230929067950116,-0.0016457195817193462
4,0.010921629164263197,-0.0004628438497584315,-0.0030188730011153366,-0.0005247847642328261,0.003910974644692864,0.0030594237047489236,-0.010603163081381973,0.0024887174248112965,0.0027933797379729496,-0.013026931448875564,-0.011086922746864254,0.0004367733508765938,-0.0004949019224517159,-0.0012559778115252926,-0.001875275746881533,-0.0036274208202367727,-0.002595875517430403,-0.008470409604829612,-0.027973461829940795,0.04325831706618853,-0.00812465048504067,-0.005822459729052974,-0.12093324714603491,-0.005450582178036008,-0.003192969801258969,-0.003627580039353757,-0.012265149977796217,-0.006375954409110625,-0.001241922259024216,0.046045658552054974,-0.27818752866181007,0.03541231153729536,0.007948704726489744,-0.012687784092058205,0.010252383951529094,-1.5487641842902743e-05
5,0.009067562004564732,-0.005681889292158357,-0.0021351413575895995,-0.009147808518449423,0.0032704797263260303,0.002019598909559851,-0.009500308485902048,0.0029810088515405107,-0.0006126819187318545,-0.001695257304988989,-0.008527364461303555,-0.0035433995143350147,0.0002900607551501412,6.102163654786495e-05,-0.004614864763281692,0.0003942628373263832,-0.0047390670186784846,-0.01291703884038784,-0.09140620004208161,-0.01762870352591405,0.0019817978061967803,-0.0045635654789087515,-0.1339452091832275,-0.002203440622244642,0.002061134029551389,0.00019036978229498378,-0.009464733651563735,-0.0014035034765069762,-0.003197012529409117,0.04397107505558545,-0.286297588175283,0.00019826484472126776,0.00031096641179203697,0.001246762261843497,5.7965406083661975e-05,0.0003310182478037378
6,0.0037225234159415244,-0.00034790740452684865,-0.0014514682289268085,-0.005749129651711139,0.004262321854077573,-0.007851331391677752,-0.015654858267791106,0.0051236089770981255,-0.0017448950026105515,-0.01315697340101889,-0.02045400821753833,-0.0038660431918553203,-0.00019429665486656494,-0.001156812510839345,0.004122233784098355,-0.00045594241575899286,-0.0032106554369594753,-0.004777924012362045,-0.07257453248030758,-0.04319640697784432,-0.013202961610468918,-0.001722399179689209,-0.1388839641714393,-0.0025218467116287064,-0.003243431439113697,0.0001128859368598739,-0.012016309773507683,-0.003620828091149611,-0.0030253016899608877,0.04354474390952622,-0.2541374244150202,0.004155418792197821,0.05166304932709802,-0.017960554586486342,0.002929704683316082,0.0015055571928616158
7,0.009691388904121238,0.01291730970507655,-0.00033075695251305094,-0.00315365572043004,0.0045762209123722175,0.00044442921710930724,-0.009426091029207653,0.0021477577741335786,-0.00013487202500234028,0.00530010871463699,-0.008559111103887906,0.0005074922378372339,-0.0007352636476217189,-0.0009055293196572931,0.008937930691921734,-0.00027956381335737443,-0.0027335241008219963,-0.0157698181518108,-0.023282549086443453,-0.0033848741727963037,-0.013346519197299856,0.003933605438684921,-0.1241993459262554,0.02410518122610704,0.001280611987224966,-0.005841767729506566,-0.006213206524144839,-0.001761303316475356,-0.0023159004581987425,0.045946676283147324,-0.25049873678544493,0.028357272811265783,0.04312660043478713,-0.0033766339946625723,0.014173604958231242,6.38172453724127e-05
8,0.003719111003637596,-0.011249288914279195,-0.0018837496103437396,-0.0016656975554254082,0.0034951344368826754,-0.0028843941818710262,-0.012642736626352093,0.0038488078828556355,0.00040623108937167326,-0.010583860373479517,-0.006453606512068897,0.0005545975822369727,0.0003952620518348737,-0.0006218851298466781,-0.008132837874428532,-0.00031772956292886644,-0.0033100662995236697,-0.014187876903764812,-0.023146581553015178,-0.0434218306757251,-0.009819417184773931,-0.002054868955141003,-0.1476323724413258,-0.0009720268039028852,-0.00040824192180094135,-0.0010777866574702456,-0.010904718206675183,-0.0015667229713907428,-0.0018167133450497214,0.04536899696853309,-0.28330900951373955,0.005715409275322716,0.012353846928541534,-0.022576611713882037,0.00019622811658027867,0.0016981718956769628
9,0.0030827615470219393,-0.0015834757416293564,-0.0021676676839519583,-0.004768787455242563,0.0036519099308324754,0.0034585976640725455,-0.007504003524277866,0.0020185586688641977,0.0003941752106828777,-0.002013883928316283,-0.0034658709655690386,0.001022846652523581,0.00048312055502109676,0.0012220536099854474,-0.0026307221743282184,-0.010689891131905906,-0.002943489978768228,-0.011877340918607168,-0.006778355526027747,-0.03906021903391247,-0.009639790688550011,-0.004913257459225568,-0.14215261477692073,-0.0018102946501849058,-0.003985916233957933,0.0003129543485563013,-0.00819238643831287,-0.001770635801134821,-0.0012913248432513435,0.04729643170891609,-0.28764904448839007,0.005938246133681031,-0.00027794595405750556,0.0019091868541402431,-0.0001830944849500916,-0.001023387837302362
10,0.00027823712943694253,0.001765905111745024,-0.003070878377150758,-0.002847277542563129,0.01040225493843426,-0.009733778810057537,-0.00406835744197495,0.0016584096233534383,0.000756742628557897,-0.01856417029839619,0.02620268079550626,0.000527167670528999,-0.00048571769970880065,0.0009910874481885018,-0.001081270486363386,-0.002749099926263021,0.0020802056368003767,0.020975621796126078,0.009975792326737582,0.01298764760788076,-0.01265389443929581,0.0006068530842722631,0.08503422085669939,0.0012620682793299063,0.00313476258736035,-0.004883239233910332,0.051555651021090006,-0.002239595625065179,0.014714636706044297,0.08489056577275247,-0.09626721254982043,0.019371738025091664,0.0003141641407525841,-0.003056347391199761,-9.087332900856411e-05,0.0007925503262109049
11,0.0008784344755467606,-0.0005387425379581282,-0.0012739222664360718,-0.0032582499261898635,0.004808699128391479,0.044210843585434235,-0.00481024544694159,-0.0008692036927727139,0.0001815278760097866,-0.009909138751183906,0.013271187364667356,0.0005052637550897833,-0.00030449099046536417,0.0020468626625486422,-0.004740298555265652,0.0007343755663660601,-0.006889176045472856,-0.009841098271460916,0.006480991407158145,0.006675145993332457,-0.007710735812239993,3.1864663237482186e-05,0.0569224875626571,-0.004184762367121333,0.009437271185285473,0.005601072432810079,-0.006821030654389149,-0.055520875839413716,0.0004738286956647508,0.0788677371255215,-0.24137306094530805,0.019603130088246525,-0.004358353102392184,0.00728080661166036,-0.0006753907314987669,-0.0028625561926657692
