,spectral_mean,kurtosis,dominant_frequency,crest_factor,skewness,spectral_mean^2,spectral_mean kurtosis,spectral_mean dominant_frequency,spectral_mean crest_factor,spectral_mean skewness,kurtosis^2,kurtosis dominant_frequency,kurtosis crest_factor,kurtosis skewness,dominant_frequency^2,dominant_frequency crest_factor,dominant_frequency skewness,crest_factor^2,crest_factor skewness,skewness^2
0,-0.45255343637362105,0.01570327455911642,-0.10847692275983215,-0.5835731671959759,0.05321995872282332,-0.03303674201148005,-0.15122449835882504,-0.01607791399309509,0.8099576323236702,-0.06151728764242393,0.012171890500893467,-0.0011632784796547534,-0.04308003451501484,-1.3135684935306604e-05,0.21128544288937356,-0.07468330700875699,0.002620798414604822,-0.0011849265840131104,0.003371290640341868,-0.0019806044632970764
1,-0.4522066957040657,-0.04546163769962981,-0.10847692275983215,-0.6591567747336691,-0.1698162134404909,-0.03293203169989241,-0.09230957742616762,-0.016063698205750866,0.8900007159864552,0.14912120909181825,0.011744575679621325,-0.0034167369382607444,-0.05152127096488215,0.0006316936621183718,0.21128544288937356,-0.08546951306830208,-0.008072411536375928,-0.002678511686470125,-0.016049806328138655,0.004161169165670818
2,-0.45235760216619014,0.1570567896267936,-0.10847692275983215,-0.7654833066874418,0.13674152378810403,-0.03297759259870209,-0.28748221708975114,-0.016069885118226927,1.0035570109191565,-0.1403866331637707,0.011344556075825542,0.004044515702006938,-0.022255686451334713,0.0006788913835075025,0.21128544288937356,-0.10064290741413646,0.006625142741423611,-0.005102930892494023,0.013464410915399674,0.0016361140899004937
3,-0.45247698196788294,0.20036210237088753,-0.10847692275983215,-0.9059022900857923,0.06345814318506889,-0.0330136466122977,-0.32926645797804066,-0.016074779490370342,1.1534716707338597,-0.07118185402301323,0.010584118862736315,0.005639984733221024,-0.010881547120599412,0.000441338966984736,0.21128544288937356,-0.12068148639901931,0.0031116562647453667,-0.008883910065577994,0.007033119974289652,-0.0017106404150910427
4,-0.45255064349236995,0.22076830446708193,-0.10847692275983215,-0.9390005101150573,0.07953260471668692,-0.03303589826279948,-0.34897118549445877,-0.01607779948963637,1.1889242783967875,-0.08638241437211022,0.010143363781310111,0.006391796957313881,-0.005889321004129024,0.0006101382757632387,0.21128544288937356,-0.12540478862115495,0.003882327633157723,-0.009871132190613082,0.009407102277339536,-0.0011890446065891446
5,-0.4517725321819408,-0.05013529111480605,-0.10847692275983215,-0.466075916148023,0.07489950175548862,-0.03280104167769988,-0.08789548091992289,-0.016045898227712345,0.683821979276276,-0.08187662438456056,0.011692416338830672,-0.0035889252637580265,-0.048483870496646674,-0.0002307922171296788,0.21128544288937356,-0.057915788197203846,0.003660198898575929,0.0007576585484585012,0.0038477852494382047,-0.0013516323143714136
6,-0.4524581474269581,0.21571519065273775,-0.10847692275983215,-0.9064103211990597,-0.034488606436264384,-0.03300795769988785,-0.3440615377740089,-0.016074007305703176,1.1539718156461638,0.021360260737604057,0.01025742482077466,0.00620562842299044,-0.008048235377650067,-0.00021568317274655343,0.21128544288937356,-0.12075398529727088,-0.0015842867635009524,-0.00889878635726982,-0.005186779856754649,-0.0023081639581107043
7,-0.4523403324569738,0.21689705346797847,-0.10847692275983215,-0.9934242477220334,0.011649964381626956,-0.03297237779620305,-0.34515369086958614,-0.016069177089041802,1.2464442615721665,-0.022228468962688385,0.010231037372499962,0.006249171013988521,-0.004612597082403805,0.00011250534252161869,0.21128544288937356,-0.13317136218760864,0.0006277733692054363,-0.011574057706017885,0.0007001013770863671,-0.0025790636304998883
8,-0.4525763255193435,0.20525281500236361,-0.10847692275983215,-0.9407087111116985,-0.06117941819396639,-0.03304365718936879,-0.33401905081194794,-0.016078852409775482,1.1908043524533205,0.04659401374430149,0.010483294733653599,0.005820170028041503,-0.008782234914919834,-0.0003788025730886859,0.21128544288937356,-0.12564855851440468,-0.0028639466999090544,-0.009923076694310109,-0.008823175365081475,-0.001702256244346589
9,-0.4521786942929084,0.14383720018931093,-0.10847692275983215,-0.8176239671082971,0.0021890968261681783,-0.032923579441147065,-0.27469810449172344,-0.016062550194740614,1.0587723662592308,-0.013292053283388623,0.011529317715561224,0.003557475100833935,-0.023159335775423447,4.218488919375968e-05,0.21128544288937356,-0.10808367302061597,0.0001741830743770933,-0.0064299465702411605,-0.0006205973307035931,-0.002603700822435434
10,-0.4286270834231012,-0.15035784432794252,-0.10847692275983215,0.5041697702567437,-0.05898208010123122,-0.0260120976797756,-0.001446557275396585,-0.0150969735516302,-0.31772454981471254,0.04130446401223823,0.009907404580730141,-0.007281358587717165,-0.018912620825986968,0.0005032158537236322,0.21128544288937356,0.080543730247025,-0.0027585978798903,-0.0008436820634788597,0.0038668569352971346,-0.0017645749107957143
11,-0.44062744776072016,0.12588379896822205,-0.10847692275983215,0.09872935553737942,0.05953540652507167,-0.029484414581523063,-0.255152869190139,-0.01558896841250296,0.08632066246601222,-0.06593901267663756,0.011744759496878272,0.0028960297991344353,-0.042554712885541864,0.0002403394154171948,0.21128544288937356,0.022685101894976488,0.002923585216534207,0.0036535157749151325,-0.001792881064300444,-0.001819801299338688
12,-0.4405967368938413,0.16668694531777137,-0.10847692275983215,-0.13560309188121045,-0.017661186594295355,-0.029475397564437667,-0.29338587927389903,-0.015587709318341128,0.3291495094845655,0.004961563892004421,0.01119601116004959,0.004399313166731877,-0.037452212097007255,-5.857616123564705e-05,0.21128544288937356,-0.010755456800689704,-0.0007775156843608524,0.0037466014548601287,-0.0010061756056428937,-0.002520941822980848
13,-0.42949541376064915,-0.2521495740139905,-0.10847692275983215,0.5902376977174006,0.31537084420548783,-0.026259910450103743,0.0917573841556515,-0.015132573642726957,-0.40567536347285377,-0.29313013059400667,0.006790772127749172,-0.011031604043915934,-0.0022524399184592476,-0.003677954273570813,0.21128544288937356,0.0928261077485972,0.01518931781713934,-0.0025055271135797025,-0.028488261915604326,0.02019232860545336
14,-0.43679689633251284,0.1170901554757744,-0.042603147882574334,0.05897518155688765,-0.03197266809310088,-0.02836490555659893,-0.24624235944552997,-0.004908353774560861,0.1283766998458436,0.01782377681989575,0.011835372281671946,0.0007936616252655138,-0.041677269019001935,-6.507029245362405e-05,0.012387529634025785,0.009010292002980777,-0.00046241226270359633,0.003798616313464997,-0.00029895244208222397,-0.0023482977912181735
15,-0.4406640619619148,0.13002143724151444,-0.10847692275983215,0.021225188554355935,-0.0043834251164506,-0.029495165753605324,-0.2590382465494202,-0.01559046953349528,0.16663291284050974,-0.007231752587634457,0.011698731725590602,0.003048470072835136,-0.04120923887787833,1.7792759459524096e-05,0.21128544288937356,0.0116248211967393,-0.00014092884831313384,0.0038874922796612067,-0.0006803874382604739,-0.0025964650682583803
16,-0.43908671526608384,0.09580934766937976,-0.10847692275983215,0.10710498608305966,-0.0724381822502696,-0.029032867966879115,-0.2267717116223074,-0.015525800957914563,0.07817285090959866,0.05502041019935926,0.012014082056988814,0.0017880166562296296,-0.041839596962892106,-0.00012746422822646806,0.21128544288937356,0.02388035149852676,-0.0034037350520623134,0.0036162063916279985,0.0007212750159059843,-0.0013479379497541594
17,-0.3809389533960874,-1.7442154378102117,0.011814318320377762,1.4339379371339411,0.10145939807303529,-0.013226305424663522,1.2556154037640703,0.003449127936419638,-1.077832252619715,-0.09113443230333848,-0.1896617443346735,0.009382866452571597,0.5068360570362431,-0.00719586797593155,-0.014602438086973098,-0.02637986909264682,-0.00057361668837341,-0.03190948136119051,-0.021617953294248336,-0.0002850001300228828
18,-0.382103289495972,-1.5159130110108219,0.08628032470336484,1.4830467702682846,-0.21537619827948523,-0.0135192042365633,1.0767138425768212,0.013760614005627867,-1.1257868668059163,0.1583300290734679,-0.14131081186187297,0.04884579678640482,0.4528431740780772,0.013683090318626925,0.14979336397326953,-0.18071046497383458,0.009028027946659916,-0.03435392311800728,0.045988271792428745,0.00824356326468743
19,-0.42730385743419286,0.18445469221928648,-0.10847692275983215,-0.16568869038875908,0.04609560155312447,-0.025635494099549492,-0.30568187332400687,-0.015042723499881745,0.3558051042743233,-0.052266080679437714,0.010891082121813583,0.005053918528973107,-0.03615196250124556,0.00029996393749020145,0.21128544288937356,-0.015048840981450465,0.002279229393569159,0.0036255682939561997,0.0001421487534800993,-0.0021398778984449062
