,skewness,crest_factor,kurtosis,mobility,complexity,dominant_frequency,spectral_mean,spectral_kurtosis,normalized_frequency_std
0,0.011524853491773785,-0.21437668625538603,0.006114395987472234,0.15426735317902124,-0.19021523639213914,-0.013003505059652837,-0.45103992166166984,-9.03017955997757e-06,0.034570236564731883
1,-0.03677392894313051,-0.24214246479008836,-0.017701432531672782,0.22492329957645643,-0.17448843596442223,-0.013003505059652837,-0.45069434062777836,-0.0013616273164419707,-0.01527936331402171
2,0.02961156050697884,-0.2812017136770793,0.06115332191920685,0.689537997630397,-0.07901604677082136,-0.013003505059652837,-0.45084474239999833,-0.0009590493127612917,-0.015108730815505705
3,0.013741946078479108,-0.3327848878879994,0.0780151445589313,0.298561737726816,-0.16854503540904012,-0.013003505059652837,-0.4509637229492015,-0.0007510336850285198,-0.012711323317163443
4,0.01722289229784558,-0.3449435804559232,0.08596072302709121,0.3784984650332655,-0.13550313855135196,-0.013003505059652837,-0.45103713812089996,-0.0006702944995510278,-0.010749503140914158
5,0.016219587633176328,-0.17121385297295985,-0.019521216525196578,0.7143279267670983,-0.06759574986855421,-0.013003505059652837,-0.45026162911733936,-0.002179162298832628,-0.017166873856070103
6,-0.007468554013420085,-0.3329715140605156,0.08399318824863763,0.6437324670984464,-0.09646041619208794,-0.013003505059652837,-0.4509449513983072,-0.0007301649834593205,-0.013547279430265978
7,0.002522815423099053,-0.3649362414925437,0.08445337107407612,0.1575274043170146,-0.203302685220605,-0.013003505059652837,-0.4508275304474067,-1.8005760333429048e-05,-0.0124962542027763
8,-0.013248485123214644,-0.3455710912629702,0.07991944506499465,0.514597232318934,-0.11169529687922891,-0.013003505059652837,-0.4510627342571863,5.092892724932207e-05,0.016058460714443893
9,0.0004740518558515116,-0.30035568207130575,0.05600600030114031,0.648476137188863,-0.08620553394676611,-0.013003505059652837,-0.4506664328642311,-0.000769389874659234,-0.01622086563259488
10,-0.012772648610026851,0.18520770099335934,-0.05854494848082664,-0.015832423282736575,0.022158681142205233,-0.013003505059652837,-0.4271935877415746,0.00015511818138656307,-0.006176033730588854
11,0.012892472189768817,0.03626841202780236,0.04901547077976884,0.07427305412860946,0.01983481166064423,-0.013003505059652837,-0.43915381819330535,0.00015334700430664648,-0.00753359775297876
12,-0.003824553661347433,-0.049814047522366955,0.06490302298276392,0.06621108924701728,0.017320398757362805,-0.013003505059652837,-0.4391232100355103,0.00015433036701194465,4.245812272582072e-07
13,0.06829397959466224,0.21682491391378886,-0.09817967187607565,-0.01054963962319548,0.008354867210750473,-0.013003505059652837,-0.4280590140447366,0.00015461972274687268,-0.014601564558368623
14,-0.006923724188385655,0.021664642420458624,0.04559148310872167,-0.0659593300280562,-0.010531304086426805,-0.005106987135639232,-0.4353360776189674,0.00015511708641936374,0.028343495099964384
15,-0.0009492365922784881,0.007797112415726488,0.05062654614883212,0.01019613391113156,0.010603006977087064,-0.013003505059652837,-0.43919030994237007,0.00015463195351947664,0.009828401098671063
16,-0.01568658559080666,0.03934521545642768,0.03730535874836988,-0.08360549563575556,0.002676320295943866,-0.013003505059652837,-0.43761823850739917,0.00015312276662128374,-0.01184568346474342
17,0.02197116882869419,0.5267597630228708,-0.6791464948336206,0.6491104417163592,0.035902704739419346,0.001416223323328527,-0.37966494536967554,0.00015521638834486127,0.025807444496359293
18,-0.046640004809357524,0.5447999840354207,-0.5902522048498817,0.3087551883565852,0.04999238060650521,0.010342721846126514,-0.3808253874767734,0.00015520595793660122,-0.015337542300702394
19,0.009982064384561723,-0.060866047981963704,0.07182126414017759,-0.007858498067972996,-0.004959113673014814,-0.013003505059652837,-0.4258747871350421,0.00015507210831573992,-0.009940274350237876
20,-0.008644682960938364,0.40622149806507213,-0.25255685276530454,0.33027787064749525,0.01673115263056514,0.0012445598901977967,-0.4038659577503699,0.0001551893679873287,-0.012549597222092876
