,AE__peak,AE__skewness,AE__shape_factor,AE__margin_factor,AE__dominant_frequency,AE__peak_frequency,AE__frequency_skewness,AE__frequency_kurtosis,AE__AE_20-500kHz__skewness,AE__AE_20-500kHz__complexity,AE__AE_20-500kHz__dominant_frequency,AE__AE_20-500kHz__rms_frequency,AE__AE_20-500kHz__spectral_flatness,AE__AE_20-500kHz__frequency_skewness,AE__AE_500-1000kHz__peak,AE__AE_500-1000kHz__skewness,AE__AE_500-1000kHz__crest_factor,AE__AE_500-1000kHz__shape_factor,AE__AE_500-1000kHz__complexity,AE__AE_500-1000kHz__dominant_frequency,AE__AE_500-1000kHz__spectral_std,AE__AE_500-1000kHz__spectral_kurtosis,AE__AE_500-1000kHz__normalized_frequency_std,AE__AE_500-1000kHz__frequency_kurtosis,AE__AE_1000-2000kHz__peak,AE__AE_1000-2000kHz__skewness,AE__AE_1000-2000kHz__crest_factor,AE__AE_1000-2000kHz__kurtosis,AE__AE_1000-2000kHz__impulse_factor,AE__AE_1000-2000kHz__mobility,AE__AE_1000-2000kHz__complexity,AE__AE_1000-2000kHz__dominant_frequency,AE__AE_1000-2000kHz__spectral_kurtosis,AE__AE_1000-2000kHz__rms_frequency,AE__AE_1000-2000kHz__peak_frequency,AE__AE_1000-2000kHz__frequency_kurtosis,UL__skewness,UL__crest_factor,UL__kurtosis,UL__mobility,UL__complexity,UL__dominant_frequency,UL__spectral_mean,UL__spectral_kurtosis,UL__normalized_frequency_std
0,0.050215539409986375,-0.0011665204502527501,-0.12379849093692147,-0.025075208969379377,0.028732793870968405,0.22751843311830838,0.054451231856411555,-0.004966808611206714,-0.01579236372028397,0.03523334535588095,0.005464422829387013,-0.003949801566850504,-0.004501439079598089,0.007298551185587316,-0.0010465110242523653,-0.01767334124191404,0.002529279839918835,0.018587473166815527,-0.06559151255269867,0.058528632280634554,0.21875289279716484,-0.003363359721528411,-0.05708832657318388,-0.005461961790524467,-0.001451852955475013,0.0033150137272076057,-0.041695753189935285,-0.00013890016893319384,0.012295859957824107,0.43348412555891125,-1.3231295665058451,0.059093150897889975,-0.055062975059145154,-0.43572892362597165,0.3602720432093017,-0.048648719793454996,0.0015034327833137074,-0.007594867113553309,0.0007392933420941606,0.06417451773062495,0.06529822142945749,0.01984466457719928,-0.1251631844086165,-1.753308673716479e-06,0.009784400943242575
1,0.05096851837073691,-0.0012691183108950901,-0.12067010349905499,-0.02592794718210367,0.028732793870968405,0.24285374537437748,0.05649065787645046,-0.02126067934498954,-0.015618748319338148,0.035166994163759895,0.005458248089138385,-0.008261505018846762,0.00435484199551333,0.006110453673911992,-0.0010597066265076221,0.0033013274676006303,0.002584993678761664,0.018963015928870335,-0.06531405996204936,0.050889492179372144,0.21905515281268478,-0.0037262188454077437,-0.0497171855668498,-0.00661054526807984,-0.0013143050955178592,0.003442905443271932,-0.042032596054523134,-0.0001411890402438577,0.012485987207876035,0.4366937783813534,-1.3113945978841823,0.042584818935480655,-0.05504999080027397,-0.4194970411117291,0.29890325835187237,-0.007718370963150664,-0.004797208952271201,-0.00857854403271325,-0.002140285196282292,0.09356707027927987,0.059899431531318784,0.01984466457719928,-0.12506728597347636,-0.0002643749183978497,-0.004324512403666263
2,0.0509057701240077,-0.0011669794318332585,-0.13237580503651475,-0.026940823459393026,0.028732793870968405,0.22128302606040035,0.05640726689293387,-0.010673625068251483,-0.01271287995985626,0.03631526970274661,0.005475537361834544,-0.0047302957854288615,-0.004190494170219393,0.007148654937439656,-0.001058571512026703,0.004867700899502283,0.002582186444508751,0.019096070097051433,-0.06691319007035913,0.050876411460020664,0.21792996394644068,-0.002326808864511161,-0.058007339834081684,-0.0022872042644227386,-0.0013356273046599308,0.0033368328203594905,-0.04087238475608139,-0.00013922318808920576,0.012066283991476993,0.4323203122403114,-1.2837795322514085,0.042584818935480655,-0.05505015909328698,-0.416074168954609,0.3108425111541584,-0.017862995734079328,0.003862868266659202,-0.009962322325183466,0.007394065388378778,0.28684467285518433,0.027125100051841527,0.01984466457719928,-0.12510902233393512,-0.0001862099715091798,-0.004276218352328151
3,0.05078027363054927,-0.001312958629703369,-0.125407510675153,-0.025778857313429528,0.028732793870968405,0.19353696858647632,0.05681736567021827,-0.006297272682600677,-0.01372470936355893,0.03635093478074088,0.005487886842331801,-0.019984952356005517,0.02995144919004443,0.002740279035763235,-0.0010338526317690046,-0.009959539249791996,0.0024788942613928576,0.01830394642648832,-0.066958872905282,0.05065403923104556,0.2170651064717675,-0.0031755407384160854,-0.05537125702413698,-0.004941109469340683,-0.001293167118193457,0.003336979631734542,-0.04102555365298959,-0.00013929512902322272,0.012132602149251104,0.4339507184029179,-1.2798109913501576,0.05964961152583635,-0.05499758067809409,-0.3728280993548593,0.12579830786144003,0.1151381318307397,0.0017926555210147793,-0.011789794147191656,0.009432833115994405,0.12420032584082291,0.057859145522319876,0.01984466457719928,-0.125142039332444,-0.0001458214496697145,-0.00359768101735233
4,0.050843021877278495,-0.0010732721670086176,-0.12555288971254008,-0.026265226928857875,0.028732793870968405,0.18720999087844237,0.05339758936886993,0.01474723042562355,-0.01074329454001106,0.03629458053108608,0.005474302413784819,-0.0068697938456748426,5.8513028415366225e-05,0.006635476627677773,-0.0010313897764412203,-0.01965840050394059,0.0024587676622177582,0.01875018987682025,-0.06455230734972532,0.05095489577612953,0.22101448475420632,-0.0012129767110058173,-0.06288620667579624,0.0012685280064275788,-0.0011873107306037201,0.0032670769109956186,-0.04248639385245184,-0.00014057014483908115,0.012654745980047365,0.43542075457857954,-1.3186836992865891,0.05925390619040782,-0.055050085716800534,-0.4149507843591057,0.2998584420901925,-0.01003838044025833,0.002246749680813248,-0.012220548330125154,0.010393535247919255,0.15745364106366738,0.046516325996471514,0.01984466457719928,-0.12516241197848346,-0.00013014504885550503,-0.00304242779694051
5,0.05040378415017401,-0.0004086719237500804,-0.1247983449169032,-0.02567960305721618,0.028732793870968405,0.20562309386977928,0.04825218476553005,0.03300235009193953,-0.009969528596882446,0.03647253813867453,0.005480477154033447,-0.012826714379239068,0.012785546839821828,0.005026554056986872,-0.0010206935145381161,0.0014962664088386363,0.002436353493433147,0.017062136895821693,-0.06605877121743961,0.05075868498585737,0.21222356120112862,-0.0024822730088247757,-0.0564735065157551,-0.00356017373614822,-0.0011808637425036628,0.003585602315769366,-0.04316456746657827,-0.000149934623462628,0.013027864554549533,0.4297370699641706,-1.3123827097955194,0.04301762164610562,-0.0550406431149798,-0.4069720584359893,0.247697773957615,0.03317649017617608,0.0021158672252929245,-0.006065708375489988,-0.002360315791817511,0.29715717069831526,0.023204672382330163,0.01984466457719928,-0.12494720890717749,-0.0004231083263186717,-0.004858733796494092
6,0.050215539409986375,-0.0011454872367701126,-0.1308996418554551,-0.025271368537856352,0.028732793870968405,0.18804903854378374,0.05773284351681186,-0.005623972463535206,-0.015253878450612404,0.03635156509766224,0.005490356738431252,-0.010273994237554504,0.007486562743481718,0.005819649989922093,-0.0010366224820605825,-0.0035535259305034287,0.002472857979945402,0.018128735090828463,-0.06651746423651889,0.050562474195585225,0.2240687718021122,-0.002531104199447162,-0.06085739325081939,-0.002165181594771541,-0.0010288148352961958,0.0034409481364515633,-0.04176470246916732,-0.00014064457437086304,0.012452187386512655,0.4301995247064544,-1.2716243342999356,0.042572453143748516,-0.055056778924347946,-0.4137373960925108,0.3352614421267341,-0.038168142255810736,-0.0009742830098221709,-0.011796405878182231,0.010155640063336883,0.2677897803539037,0.03311350728342015,0.01984466457719928,-0.12513683024346234,-0.00014176956175016036,-0.0038342813589853485
7,0.050843021877278495,-0.0011977616502337216,-0.13096812798309443,-0.026538902827915625,0.028732793870968405,0.18592696791399305,0.05455438221494064,0.013556322480633555,-0.013542802489898071,0.036201829662922014,0.005484181998182624,-0.004757552027205941,-0.00419127395753889,0.00711404762879945,-0.0010349559000161978,-0.011262259088346856,0.002460504557477169,0.0180175538812543,-0.06545682149417491,0.0507456042665059,0.22608008898548249,0.0007739668142247906,-0.07460789125658696,0.007141936742989461,-0.0010986789560516973,0.003372399325436914,-0.04193585358675409,-0.00014005589965422337,0.012462879347766687,0.43444961301724155,-1.29955699464149,0.059204443023479256,-0.055062219954769995,-0.42564672982233603,0.3552949042772402,-0.049459454701644374,0.0003291046967359579,-0.01292884178531253,0.010211280898456134,0.06553068418611027,0.06979095896067228,0.01984466457719928,-0.1251042460321206,-3.4960163925621527e-06,-0.0035368100874779676
8,0.0509057701240077,-0.00037787691756829643,-0.12814395931999187,-0.026652736527847772,0.028732793870968405,0.18039659359745655,0.056133384715667825,0.0031440197378161013,-0.011320196973289582,0.03628959535948049,0.00549653147867988,-0.008413938715873048,0.003682116167565535,0.006226694545493027,-0.0010516851114249872,-0.025613105986098648,0.002546370245033266,0.01794506958124632,-0.06337823019899674,0.0504055055633675,0.22032223355191258,-1.3911151097278155e-05,-0.071250064147051,0.004859774357391661,-0.0012489249200611844,0.00344140680159417,-0.04207713074038703,-0.00014359388126223863,0.012443228134728692,0.42049395692984437,-1.3360745692599718,0.04254772156028423,-0.05505627061019379,-0.4147242020417136,0.32462696055636103,-0.030134995348742966,-0.0017282828695134446,-0.01224277957772529,0.009663082626880466,0.21407010964438375,0.038343428037557,0.01984466457719928,-0.12516951488395212,9.888411331826687e-06,0.0045450200454145275
9,0.05059202889036165,-0.00016486146010533342,-0.12616787801785795,-0.02606974853208714,0.028732793870968405,0.16067751947918885,0.047755458055723114,0.053710534127843684,-0.007820926897620257,0.03638668978176916,0.005484181998182624,-0.013900087694877352,0.01564046812518257,0.004656842235427729,-0.0010494526108976317,-0.03186083836616478,0.0025228969388101253,0.01905038698422855,-0.06279886142904743,0.05049707059882784,0.22648660275884872,-0.0013653400065467857,-0.06274703595194699,0.0011979816405190704,-0.0011763055155438362,0.003478454923343779,-0.042975548750827104,-0.00014610870765627065,0.012776444453628055,0.4481648476469108,-1.3349443559490817,0.04247352680989139,-0.05502680050868175,-0.3982014674512383,0.1906272134458892,0.07543592369067406,6.184070813451829e-05,-0.010640902851790028,0.0067717012808445635,0.26976312555009957,0.029593150111781343,0.01984466457719928,-0.12505954159346133,-0.00014938550576429737,-0.0045909854478024545
