,mean_abs_shap
spectral_mean,0.19256467263434798
mobility,0.1356584793832355
spectral_kurtosis,0.06679275029287811
dominant_frequency,0.040260988181640166
kurtosis,0.018749034546678447
complexity,0.017416124805789735
normalized_frequency_std,0.015702440948292797
skewness,0.014072908347468542
crest_factor,0.013909492396837562
