sensor,band,stat,type,marg_rpm,marg_temp,cond_rpm,cond_temp
AE,broadband,center_frequency,spec,-0.6451705909290415,-0.6415352262985391,-0.87123392435315,-0.964181611096342
AE,broadband,complexity,cplx,-0.6582341821932509,-0.4574040306604341,-0.8206467424960093,-0.9017944073257944
AE,broadband,crest_factor,shape,-0.356669123809388,0.3724408927282044,-0.4489414221283284,0.3366505280838759
AE,broadband,dominant_frequency,spec,0.3852157803994671,-0.1739712296743683,0.3814348925345583,-0.1721052639600046
AE,broadband,kurtosis,shape,-0.2524359977905317,0.4504214199091156,-0.3520809789984116,0.4018020210171514
AE,broadband,margin_factor,shape,-0.2945526539157649,0.4696293986537021,-0.3762860631060619,0.4769674381029039
AE,broadband,mobility,cplx,-0.5597135452964559,-0.690569971675614,-0.7968765944134502,-0.9629993651751604
AE,broadband,rms,amp,0.7201547962781109,0.5556595126632535,0.897171405077766,0.9293374826233464
AE,broadband,shape_factor,shape,-0.0655438794235548,0.5992188482969497,-0.3197592388319931,0.5754933451439768
AE,broadband,skewness,shape,-0.3591927277560738,0.1228722948930831,-0.3613529455268501,0.0965488123832594
AE,broadband,spectral_bandwidth,spec,-0.7223397522103724,-0.5475376283775797,-0.8873342138112117,-0.9311675193418574
AE,broadband,spectral_flatness,spec,-0.4346437623705557,-0.4135769776300485,-0.4818170578257755,-0.4886016277976476
AE,broadband,spectral_kurtosis,spec,0.67969194316473,0.5827475007829738,0.8551141398329132,0.9201045204360442
AE,broadband,spectral_skewness,spec,0.6650345162529769,0.6057255865614337,0.8574730084277976,0.9437480852733928
AE,50-200kHz,center_frequency,spec,-0.014986576083651,-0.8944345911520241,0.0646566864558859,-0.9413588328764264
AE,200-600kHz,center_frequency,spec,-0.7348377527255254,-0.513695925239522,-0.8851302701379595,-0.8762830554739754
AE,50-200kHz,complexity,cplx,-0.6651491977931826,0.0941587500034086,-0.6561937885946504,0.1569364241345726
AE,200-600kHz,complexity,cplx,0.2049243222394056,0.2031663937569186,0.2059197735502942,0.3563938071251642
AE,50-200kHz,crest_factor,shape,-0.3683757897939839,0.3787807806538448,-0.5004020927700259,0.3416615379381895
AE,200-600kHz,crest_factor,shape,0.2315227339346375,0.6540950767924311,0.3101927858477004,0.7114972988823685
AE,50-200kHz,dominant_frequency,spec,0.402355871348021,-0.1604409201789652,0.4250506897479721,-0.1721052639600046
AE,200-600kHz,dominant_frequency,spec,-0.278377017526058,-0.5470431706650504,-0.2591605614509997,-0.6490765454893882
AE,50-200kHz,kurtosis,shape,-0.3022648527599252,0.424510632319071,-0.4182323108838544,0.3628776319170237
AE,200-600kHz,kurtosis,shape,0.2777388502352882,0.7034254753013305,0.384221883797128,0.7934939649616517
AE,50-200kHz,margin_factor,shape,-0.3130372457611922,0.4756178849661105,-0.3957394679683121,0.4679124155874806
AE,200-600kHz,margin_factor,shape,0.2645840090668538,0.6875025602895244,0.3601412392105831,0.7693106273667422
AE,50-200kHz,mobility,cplx,0.2703955395811382,-0.8409268492956151,0.6146821751177328,-0.90845364795994
AE,200-600kHz,mobility,cplx,-0.715510975185218,-0.5211394600153211,-0.8737051882754183,-0.8750885798890886
AE,50-200kHz,rms,amp,0.7178773440728187,0.558864897656583,0.8969253809200359,0.930082188869115
AE,200-600kHz,rms,amp,0.7668717942985136,0.4632774142223564,0.8914546431270867,0.8587174153195681
AE,50-200kHz,shape_factor,shape,-0.1233168234949107,0.5877445694843123,-0.3470311272631937,0.5504980590746018
AE,200-600kHz,shape_factor,shape,0.2991294442698846,0.7075100166758824,0.4566389435006798,0.8426715136585197
AE,50-200kHz,skewness,shape,-0.5184183574360065,-0.0070010111921154,-0.5538501281638772,-0.1159411641876708
AE,200-600kHz,skewness,shape,-0.0502904366074916,-0.182927105119992,-0.0434050960645939,-0.2201262439669079
AE,50-200kHz,spectral_bandwidth,spec,-0.2985866941194527,-0.2006471977649825,-0.2915764253815515,-0.2352002987351895
AE,200-600kHz,spectral_bandwidth,spec,-0.68768848170998,-0.2576456419029724,-0.8303755758917093,-0.7635888632214373
AE,50-200kHz,spectral_flatness,spec,-0.0534876408921959,-0.2200983990308271,-0.0488528552302701,-0.1985504749784835
AE,200-600kHz,spectral_flatness,spec,-0.2279444518266603,-0.2025415069497154,-0.2469013288507169,-0.2324000940835023
AE,50-200kHz,spectral_kurtosis,spec,0.1825918869578913,-0.128190593630577,0.1656039996042311,-0.1260036090164783
AE,200-600kHz,spectral_kurtosis,spec,0.5503691449874956,0.354145684264613,0.6052154446484033,0.5928845925669542
AE,50-200kHz,spectral_skewness,spec,0.1247472262888692,-0.1371695189298002,0.1119694996668465,-0.1401463033907415
AE,200-600kHz,spectral_skewness,spec,0.7261569699014394,0.481005163777461,0.8460296147400833,0.8294094204242046
US,broadband,center_frequency,spec,0.0825159412099499,0.0314367389286903,0.1018006931323877,0.0749499666675762
US,broadband,complexity,cplx,-0.6933872142375743,0.4608886370443891,-0.8168380587548334,0.8479736807192576
US,broadband,crest_factor,shape,-0.8315824689071322,-0.3683087332065775,-0.9275437240457668,-0.7032943409005236
US,broadband,dominant_frequency,spec,0.0236803064683095,-0.0243086046655041,0.1697193258086845,-0.1308973680797605
US,broadband,kurtosis,shape,-0.8682876626116096,-0.3456781325141727,-0.9488787052492612,-0.7593983181754099
US,broadband,margin_factor,shape,-0.8602242331355318,-0.3440992529923575,-0.9411873949960928,-0.7234014180995412
US,broadband,mobility,cplx,0.4916148441682079,-0.318169365163665,0.5814276588891942,-0.5821496215595374
US,broadband,rms,amp,0.8380544686421043,0.3173404596324282,0.922785074265528,0.6047416451289532
US,broadband,shape_factor,shape,-0.8985217546495967,-0.2866635634533025,-0.951875354212921,-0.747735971628668
US,broadband,skewness,shape,-0.3844512332767544,-0.4109053490856497,-0.4349955535599115,-0.5913331759714014
US,broadband,spectral_bandwidth,spec,0.0861295382389863,0.0249774613933396,0.1065408959845815,0.0619341133500259
US,broadband,spectral_flatness,spec,0.0835455060398322,0.0263460200116198,0.1052736968913491,0.0619636545513822
US,broadband,spectral_kurtosis,spec,-0.0853619914497826,-0.0253326526435736,-0.106077469402703,-0.062144840586367
US,broadband,spectral_skewness,spec,-0.0845479709581397,-0.0256905211692085,-0.1054492765387851,-0.0636455336152629
US,0-16kHz,center_frequency,spec,0.0961512373085623,0.0346421473298921,0.1134256185115613,0.0008491181128679
US,16-40kHz,center_frequency,spec,-0.0330002841356955,-0.3138584607879212,-0.019675668293123,-0.3271179517289348
US,0-16kHz,complexity,cplx,-0.637675223183056,0.1992578673909025,-0.7002649285397947,0.3948184189257117
