model,target,feature_set,n_features,cv_r2_grouped,n_pooled,holdout_r2,holdout_mae,holdout_rmse
ElasticNet,AE,full,42,0.7206,6756,0.7111,0.1418,0.1959
LightGBM,AE,full,42,0.8943,6756,0.9009,0.0805,0.1148
ElasticNet,US,full,56,0.7894,6756,0.7907,0.1226,0.1668
LightGBM,US,full,56,0.8586,6756,0.8647,0.0905,0.1341
ElasticNet,Combined,full,98,0.8335,6756,0.8329,0.1073,0.149
LightGBM,Combined,full,98,0.9256,6756,0.9294,0.0661,0.0968
