model,R2,RMSE
features->RPM,0.9453688631471254,232.94099280937158
features->temperature,0.6626671903605279,9.558372975746037
two_stage_kappa,0.8264437486552316,0.11184282151404094
direct_kappa_lightgbm_04,0.8337444595321577,0.10946519313444301
