sensor,feature,marg_temp,marg_rpm,cond_temp,cond_temp_lo,cond_temp_hi,cond_rpm,cond_rpm_lo,cond_rpm_hi
AE,AE_20-500kHz__rms,0.06533578114748752,0.8658961009089029,0.2772749935337316,0.051060704116534614,0.6087982801287001,0.8594201406695327,0.7885594780289921,0.8979288052391344
AE,AE_20-500kHz__skewness,0.2535272936994552,-0.03527318352957929,0.21162368232986548,0.0005634148413052259,0.3526629665557669,-0.04337371179231427,-0.32419160455984275,0.06907832015804766
AE,AE_20-500kHz__spectral_skewness,-0.006865679711411866,0.5133177895770958,0.07291617767906836,-0.1322572007643274,0.2301349299590572,0.43945443991772787,0.352948815528749,0.5601264759418536
AE,AE_500-1000kHz__crest_factor,-0.1463076123945868,0.6481272612004496,-0.05036749692265413,-0.14929794622302428,0.07460900921960033,0.586738602923664,0.4979432948814102,0.6464800342661463
AE,AE_500-1000kHz__mobility,-0.30988369420446227,0.8774744632889456,-0.49722997508242883,-0.5661802194522979,-0.39972301506583596,0.8905452333062519,0.8180503959043133,0.9313107022100495
AE,AE_500-1000kHz__rms,-0.20434634410980734,0.6052555395644615,-0.1259429281275324,-0.2614284380347218,-0.03552534327496091,0.6485987153684175,0.5201203465774018,0.7963346102489081
AE,AE_500-1000kHz__skewness,-0.04283853708262403,0.4950741266857855,0.0073131272333408015,-0.0098225849876752,0.09868768892316643,0.44377596703820926,0.32891647278018293,0.49140716428015496
AE,AE_500-1000kHz__spectral_kurtosis,-0.07481606637335626,0.2665363396602179,-0.029764574187912483,-0.10263397947762332,0.031355918915907374,0.24631066877662422,0.15634143232951,0.3673834056102596
AE,margin_factor,-0.20697135895107974,0.4995314290060677,-0.3162334114533841,-0.4460157388107226,-0.0023198425583052847,0.4960233593361839,0.400968818405061,0.6344517835157631
AE,shape_factor,-0.14854645534351135,0.7355717931852307,0.021655000690146246,-0.3639598898481963,0.20384816116763843,0.7318102142312902,0.6653947410153077,0.7797794752102898
AE,spectral_skewness,0.10211865737526554,0.5074952404831801,0.06657824509503482,0.024020887651263888,0.34781585705199003,0.407598210723704,0.2898714430948106,0.5477337125866812
US,US_0-10kHz__dominant_frequency,-0.2852635551561449,0.1368936927910075,-0.4016781522386612,-0.4569200624409973,-0.3421873504300753,0.12138645307122595,-0.05456556972121662,0.24079445735129368
US,US_0-10kHz__kurtosis,-0.06554335985229089,-0.7694217958992398,-0.5168517142419753,-0.5841239025403536,-0.4292362338319348,-0.7252186678350285,-0.7749019297677704,-0.6505493366688344
US,US_0-10kHz__mobility,-0.5930614828343043,-0.027176987190787743,-0.7938524264224355,-0.828560896830593,-0.6987459359818634,-0.1594904353636269,-0.29401425347359655,0.0497474975491215
US,US_10-20kHz__complexity,0.5721026225438667,0.0023481042710717928,0.6090788505443745,0.4745577506398389,0.6905544099328638,0.07462933561288922,-0.008736836315406005,0.2272795091868131
US,US_10-20kHz__crest_factor,0.009551644197760278,-0.5427678709943382,-0.036722960313359,-0.37031832158439926,0.08870929503547789,-0.42342329244447785,-0.5505836210427599,-0.33836897566039803
US,US_10-20kHz__mobility,0.7019062464966168,-0.24121772799402486,0.7794299058887741,0.7412405393526453,0.7961898489747916,-0.09646675075102085,-0.28260127968408055,0.09675859681957279
US,US_10-20kHz__spectral_bandwidth,-0.07065982530009776,0.1859769001031384,-0.01882888879741902,-0.09250008889724343,0.09277144138659361,0.16616283007288743,0.12535622799753413,0.22097112529028357
US,US_20-100kHz__complexity,-0.19759087725388472,-0.7461115315614486,-0.5198848079368172,-0.7634107386462904,-0.23295204032132202,-0.7247694212303925,-0.7936760214057592,-0.5633346575300429
US,US_20-100kHz__spectral_bandwidth,-0.11799091281655696,0.26007749623671333,-0.0718732015669373,-0.1178015686922107,0.017742510404423074,0.22654576561437356,0.184397769651987,0.28473021654868036
US,US_20-100kHz__spectral_skewness,0.11865965953721956,-0.2554063096165957,0.07225077024607515,-0.016940353226196428,0.11818209775353596,-0.22068624268117432,-0.27981140843839425,-0.18037530147537195
US,complexity,0.36725268636136527,-0.31752072643965107,0.5565846902830647,0.254502173724911,0.7085248597157146,-0.3567296078298897,-0.5040292444285123,0.0017197573785643627
US,skewness,0.23172383302694236,-0.21592825200624435,0.17388951530503322,0.0836438492277319,0.275972869884965,-0.1681336705071793,-0.26059971687548633,-0.08528829229619161
