sensor,feature,marg_rpm,marg_temp,marg_kappa,cond_rpm,cond_rpm_lo,cond_rpm_hi,cond_temp,cond_temp_lo,cond_temp_hi
AE,AE__rms,0.8659069700287784,0.0656682229285566,0.5952256084234522,0.8610691526783089,0.7915036274817371,0.8966641257207008,0.29351921820935034,0.012448097455087646,0.6307011744318137
AE,AE__skewness,0.05958913579398413,0.17808459096765458,-0.09719381252740843,0.07874262950212266,-0.2597598572557442,0.18308411872444968,0.21747413194027354,-0.04003195473827709,0.32856638529335325
AE,AE__kurtosis,0.36962757171230604,-0.18512322073048484,0.48467459814792047,0.3651250197877071,0.2552057480471776,0.4789051328969703,-0.4258247438382373,-0.5025471464943629,-0.012864850267384653
AE,AE__crest_factor,0.3893650505191688,-0.18656134850373868,0.4969673351761361,0.3764863287463306,0.2979009988475013,0.5251438940602012,-0.322150683154217,-0.45048472293201053,-0.022386396876400632
AE,AE__shape_factor,0.7355717931852307,-0.14854645534351135,0.6983496163240687,0.7318102142312902,0.6653947410153077,0.7797794752102898,0.021655000690146246,-0.3639598898481963,0.20384816116763843
AE,AE__margin_factor,0.4995314290060677,-0.20697135895107974,0.582761476329438,0.4960233593361839,0.400968818405061,0.6344517835157631,-0.3162334114533841,-0.4460157388107226,-0.0023198425583052847
AE,AE__mobility,-0.8300610885268567,-0.15351869040284977,-0.5267272352798799,-0.8113072375091878,-0.857549444102746,-0.7083021288110379,-0.4681707351649494,-0.6868042443194268,-0.33960282800290575
AE,AE__complexity,0.825344657895659,0.10532987097420485,0.5602695973198434,0.8190342623929708,0.7382086995158107,0.8537193735310791,0.4179625328143999,0.2765237967797988,0.5128759234566473
AE,AE__dominant_frequency,0.5739885030079673,0.25003885663912967,0.21279446633017002,0.4969488702972559,0.29304451046667046,0.6861726957570683,0.4979434725956219,0.2623882941304414,0.5234169479773971
AE,AE__center_frequency,-0.8291070538186547,-0.09352855846959934,-0.5710349501874292,-0.7976963837885052,-0.8512077872545126,-0.742504205475409,-0.403302130319536,-0.5135577151861973,-0.244573288025117
AE,AE__spectral_bandwidth,-0.08566349941891659,0.024949856617457383,-0.051246860904418975,-0.06507878563055902,-0.09167436146144947,-0.030475167876642333,0.02513092723277468,-0.04363237902932036,0.07484155242908198
AE,AE__spectral_skewness,0.5074952404831801,0.10211865737526554,0.2798150647040386,0.407598210723704,0.2898714430948106,0.5477337125866812,0.06657824509503482,0.024020887651263888,0.34781585705199003
AE,AE__spectral_kurtosis,0.43765338840658874,0.0849902430177621,0.22474241549058183,0.35969287851101944,0.2003813308623142,0.5198974188376667,0.0716924412347713,-0.00780802421849983,0.31371527547296435
AE,AE__spectral_flatness,-0.0700115172108481,0.05154378946323672,-0.08981672508145289,-0.10353723836507056,-0.13348192867224262,-0.055026581054087295,0.04205880891480907,-0.013250715417959361,0.07879281798411217
AE,AE_20-500kHz__rms,0.8658961009089029,0.06533578114748752,0.5973968499007161,0.8594201406695327,0.7885594780289921,0.8979288052391344,0.2772749935337316,0.051060704116534614,0.6087982801287001
AE,AE_20-500kHz__skewness,-0.03527318352957929,0.2535272936994552,-0.20484023924515768,-0.04337371179231427,-0.32419160455984275,0.06907832015804766,0.21162368232986548,0.0005634148413052259,0.3526629665557669
AE,AE_20-500kHz__kurtosis,0.31367614682676737,-0.15517930637819408,0.4289098588088597,0.291867239197517,0.20045503476160959,0.43355186995637274,-0.3956300082858303,-0.4584023139221191,0.024621545954930796
AE,AE_20-500kHz__crest_factor,0.2599896661477507,-0.10800145368031204,0.36264215619836815,0.26438945142688397,0.1516580992667555,0.4071448656589548,-0.25599957317657995,-0.31748501797290973,0.005731889538939485
AE,AE_20-500kHz__shape_factor,0.5926305207710021,-0.15723129458102464,0.626707631352683,0.587625581223189,0.5134651175096913,0.6966328166952979,-0.14748137753129373,-0.4566698748233162,0.19266009515079668
AE,AE_20-500kHz__margin_factor,0.3589010967954392,-0.1449846109945792,0.45679637008971014,0.34477418153356026,0.24917308699604473,0.5041804380867796,-0.22133739891826248,-0.3936489168307551,0.03106195088870353
AE,AE_20-500kHz__mobility,-0.8115290312423862,-0.15221891616515146,-0.5246458843475206,-0.8261483485958204,-0.8607013996811004,-0.7558500421520835,-0.5607400847125807,-0.6472817116973619,-0.4153751192185519
AE,AE_20-500kHz__complexity,0.6711525086853256,0.0530900367710979,0.518271366532828,0.6846549700243276,0.5952376090761813,0.7611512089217002,0.27742207145817904,0.03956410965912664,0.43012023747417216
AE,AE_20-500kHz__dominant_frequency,-0.5640349439051004,-0.1826437538699834,-0.3718152432615222,-0.6150106658229849,-0.6976246743326848,-0.5161501915415047,-0.43438643392646836,-0.4972656349341566,-0.2663963370623442
AE,AE_20-500kHz__center_frequency,-0.7996284058040345,-0.10244220384545906,-0.5560191601487136,-0.807375102494736,-0.8387362938253252,-0.7514008314188909,-0.43835445410033774,-0.47744491858238236,-0.3389828236895458
AE,AE_20-500kHz__spectral_bandwidth,-0.2513975500471192,0.054338162634057205,-0.23637062987296184,-0.22753142683848207,-0.27023837527188344,-0.1676585186380506,0.004302175682280526,-0.029870124027256976,0.06970529173184657
AE,AE_20-500kHz__spectral_skewness,0.5133177895770958,-0.006865679711411866,0.3681826373801667,0.43945443991772787,0.352948815528749,0.5601264759418536,0.07291617767906836,-0.1322572007643274,0.2301349299590572
