channel,n_features,n_holdout,r2_rpm,r2_temp,r2_two_stage_kappa,r2_direct_kappa,softsense_share,residual_direct_minus_twostage
AE,42,8548,0.9615,0.7772,0.877,0.8759,1.001,-0.0011
US,56,8548,0.9614,0.8879,0.8705,0.8444,1.031,-0.0261
Combined,98,8548,0.9708,0.9088,0.9205,0.9075,1.014,-0.013
