,US_10-20kHz__mobility,US_20-100kHz__complexity,US_10-20kHz__crest_factor,US_0-10kHz__mobility,US_0-10kHz__kurtosis,US_10-20kHz__mobility^2,US_10-20kHz__mobility US_20-100kHz__complexity,US_10-20kHz__mobility US_10-20kHz__crest_factor,US_10-20kHz__mobility US_0-10kHz__mobility,US_10-20kHz__mobility US_0-10kHz__kurtosis,US_20-100kHz__complexity^2,US_20-100kHz__complexity US_10-20kHz__crest_factor,US_20-100kHz__complexity US_0-10kHz__mobility,US_20-100kHz__complexity US_0-10kHz__kurtosis,US_10-20kHz__crest_factor^2,US_10-20kHz__crest_factor US_0-10kHz__mobility,US_10-20kHz__crest_factor US_0-10kHz__kurtosis,US_0-10kHz__mobility^2,US_0-10kHz__mobility US_0-10kHz__kurtosis,US_0-10kHz__kurtosis^2
0,0.16979808465193344,-0.07449807142360167,-0.025040360405740005,0.1574663269348928,-0.07844144289766997,-0.00351975818668841,-0.02167958198721026,-0.014391675339890898,-0.012433527091994748,-0.009228068091972758,0.00819124891069312,-0.004907851495964556,0.00830360515451256,-0.01333403459251088,0.012649564681878795,0.0018425185929352114,-0.004030569495622684,-0.019305209146603143,0.004855212234678782,-0.006327530266404199
1,0.15798895973228586,-0.13707979868141879,-0.021454545330917958,0.4613604720198658,-0.18992682435055158,-0.0012186432702781511,-0.04716194008013256,-0.010338057814406516,0.06746518755125519,-0.023614086274854625,-0.02355367126365297,0.0002226061420311445,-0.1066760818206052,0.0669360306685754,0.014840370954141386,-0.005886501900470882,0.0018044721112782515,0.044403391995258765,-0.09604472054325253,0.010727773331654993
2,0.18790409050593346,-0.05582697057328202,-0.008408940035465712,0.41814125051657536,0.042738703483722544,-0.007462319832475999,-0.015630997696001382,-0.0020727839238251855,0.08115183800639052,0.010062164161094506,0.013738961015369134,-0.01167348937798479,-0.017145543189863364,-0.043541996207309294,0.019548573538387265,0.002637591692207583,-0.010745815524559034,0.03096945335279099,0.038976117905092714,-0.009267098229223114
3,0.20553150396803227,-0.06845075242739666,0.03565197195604168,0.028840762147147952,0.03713544185623164,-0.011782631713236557,-0.026785245603372733,0.0406935143342163,-0.0518456299707051,0.009758505507219678,0.010185500622605146,-0.026213853828333637,0.029294739940626403,-0.04414777734550411,-0.002381436272374391,0.005114066534575853,-0.005840115541841764,-0.024674089404088075,0.01799805477571081,-0.009489470730888173
4,0.17417549910829483,-0.06364526693430593,0.02781047096939673,0.11958058869138417,0.04321069503101199,-0.004426952390728101,-0.01718527871152831,0.027372691848432447,-0.023002329973791903,0.009528663703100954,0.011635354944701692,-0.022733509609809206,0.016675258814586296,-0.0448891659235834,0.005791731579215872,0.009378033861687004,-0.006079265538312403,-0.022221077126996013,0.02287723601666428,-0.00924678019350864
5,0.11628332525160104,-0.23850270730212642,-0.08277671102323879,0.8110142070493691,-0.7797782829514432,0.005200348069418854,-0.05722855821646341,-0.03429336515046603,0.09059024490932273,-0.06819715555054891,-0.11801756728087691,0.08963891217144335,-0.4107110058247376,0.7054809438389869,-0.07585867687823838,-0.08575070448935448,0.1963589743146015,0.20641277810604525,-0.8277310943989277,0.32983989707623723
6,0.17808120893476484,-0.08356599637310819,-0.003543544416385164,0.2563439471506725,0.048428270618886216,-0.005261142466628804,-0.028550926627904805,0.0022476641924596423,0.021255169009893098,0.010549250428051304,0.004846418732391741,-0.012884196958625527,-0.012796984970945101,-0.049706518984568134,0.019994258042366514,0.005520757609359491,-0.010136892024858598,-0.00644566674253034,0.03195003017690225,-0.00900575289070193
7,0.21272389926286378,-0.06809431670175485,0.018157089126743808,0.09377588168519582,0.035881114501092284,-0.013682010777607284,-0.028184771544787133,0.024372165072740263,-0.026275629787935087,0.009777794271370623,0.01029714122208251,-0.020245338462604793,0.019632807923027226,-0.04378908961068036,0.013314153222604794,0.007420951038504974,-0.007835008050503233,-0.0235691335105321,0.020906485030764112,-0.009534491335985345
8,0.11993469746367352,-0.05784843789374322,-0.031710825727246233,0.17144489554290374,-0.05088710425365103,0.0047446774267007824,-0.004026038987723234,-0.011212006898727306,-0.023059543084598615,-0.0018860290625356316,0.01322536513854005,-0.005095910689253388,0.011418279629043394,-0.024625730414081098,0.007545506677209589,7.593434255384389e-05,-0.004830757233001105,-0.017947917190603027,0.00833228744079082,-0.008423238093277675
9,0.19945363327777993,-0.06317166883170414,0.028156352884794976,-0.030859492938154365,-0.64044366942596,-0.010239291785921072,-0.022186553068753813,0.032222929540450404,-0.07358423386732946,-0.11685998948686029,0.011771777720873514,-0.022759293810722028,0.037308598362638175,0.11056711168024036,0.005470201081071114,0.002476237091514324,-0.07612194620327613,-0.022801527617915658,0.08183302195785437,0.2197297055277078
10,0.17399725854332654,-0.05569549223823322,0.0011519787429217095,0.2280201193033021,0.07974817209184436,-0.0043894403572628735,-0.013059938533847262,0.006017967842567363,0.01050188556244005,0.015270910776105994,0.013771633791443786,-0.014236173987148524,0.005435241016051141,-0.050798673888675226,0.019749386384742884,0.006861493406918957,-0.009028390306610803,-0.01090506944772546,0.03845785304098868,-0.006925798186877694
11,0.1339604573589693,-0.2020583479328852,-0.04705029698150866,1.100894260342185,-0.5742443991595325,0.00280463233858651,-0.059211595044997324,-0.02225641119089492,0.18481699040392088,-0.06114020546927163,-0.07794967025987724,0.03468159303344209,-0.4801749306625736,0.4247004206292337,-0.009268127116522753,-0.06381153698113247,0.07409937186491217,0.4126925263279007,-0.8403892195105712,0.1749430165347864
12,0.10517944501756905,-0.21116294170180797,-0.07624164337151662,0.7135204344274556,-0.6464696168694717,0.006460685863636485,-0.04062084644565604,-0.026523735406070705,0.05625647857026555,-0.04775562995513006,-0.08731577957653867,0.07004725322004417,-0.3099408450126405,0.5065005338825366,-0.06080966954304953,-0.06765326868127326,0.14723534153563378,0.15169647888571874,-0.5950805476303818,0.2240473142661057
13,0.16532059293621743,-0.09450845099392852,-0.028323677409044797,0.48393381398897733,-0.3191069382848095,-0.002622160317920175,-0.030201141058366996,-0.016275892812960147,0.08096715493262016,-0.044289552414339885,0.00024388502678702065,-0.0008506400394715061,-0.06727342763097553,0.07903925840304708,0.010304470872880427,-0.011040743391101211,0.01701737480008946,0.051996445708592555,-0.18251551424362003,0.04769047616542629
14,0.0183382591301328,-0.23695997708876945,-0.012716157461254521,0.1961016844559841,-0.0894044894764517,0.00980935948722094,0.027243487144590756,0.0037908144968556035,-0.05426014911691834,0.005311480838924876,-0.11618220378028313,-0.0006307566282148364,-0.060729008551222693,0.05190474129913993,0.018559991636742833,0.003441582386766958,-0.00703036486815677,-0.015183990430444435,-0.0020086034805502865,-0.005260086816924994
15,0.13235163029263122,-0.2326436031486638,-0.010311517943885198,0.4515148108155608,-0.3685307041451858,0.003042450840020276,-0.06900384123283494,-0.0013620808136790344,0.04099957891597542,-0.037509950442524365,-0.11111247946923863,-0.003883148898927481,-0.2005024191284556,0.3075582034072079,0.019180686068139382,0.0012020507083273077,-0.000976818711606062,0.04121548677077288,-0.1963546950793869,0.06671603117447103
16,0.1116185411912359,-0.2083818698893361,-0.04456536294878216,0.762498290444686,-0.3025964566284746,0.005752803990459076,-0.04474140312599417,-0.015434187477905066,0.07429645154995562,-0.022996820004226794,-0.08440934630759696,0.03345647512789319,-0.3295218443885641,0.21628526548894658,-0.006064111215618984,-0.03897848815732846,0.03206071576501572,0.17826183301232584,-0.2917659473011811,0.0419370900839014
