,AE_20-500kHz__rms,AE_20-500kHz__skewness,AE_20-500kHz__spectral_skewness,AE_500-1000kHz__crest_factor,AE_500-1000kHz__mobility,AE_500-1000kHz__rms,AE_500-1000kHz__skewness,AE_500-1000kHz__spectral_kurtosis,margin_factor,shape_factor,spectral_skewness
0,0.1656600369047898,0.001015350654357401,-0.0008863831465527925,-0.10989338014718557,0.10355342384799124,0.03629546418636848,0.0032595436720940533,-0.010719029875045694,0.0614318461204122,-0.21438572669052752,0.002617658426844572
1,0.16031032537593856,-0.027255226401293724,-0.000307627779263642,0.07463087703261062,0.08304046036598667,0.05283288603295695,0.00010936819050478503,-0.02957462778247228,-0.11493043388469733,-0.167174102136003,9.192984551572153e-05
2,0.16694148760816777,0.0016078563004084175,-0.0009795188159681945,-0.08717645032192259,0.039132848004837434,0.02977570169606078,0.004682656952735081,0.035058279320694136,0.0526304428864924,-0.21627283187280644,6.196278084931134e-05
3,0.14206193147858792,-0.666309234785935,-0.0006446452073297074,0.07421251273895675,0.04384017060432375,0.04376852144851851,-0.0003823207862460369,-0.006651494220202351,-0.11184229047614586,-0.06728749245688276,0.0029531177040146442
4,0.1652631276803157,-0.0009737544367718731,-0.0008617145039349017,-0.06039227754081142,-0.0030400902915909004,0.024327671496884945,0.002764757892273412,-0.012943523308308153,0.04298009156581509,-0.21029489672357668,0.00562214825398744
5,0.16586450780035983,-0.0009087343394258976,-0.0006403431171970774,-0.08129895195375174,0.01944955841988936,0.0042191743212014856,0.0031215817588407992,0.011778898839736755,0.05233422966905434,-0.20788220348627648,0.003230034673309816
6,0.1663217712927212,-0.000778982420106314,-0.00017365113855439063,-0.09283707408428582,0.05518490214602535,0.027761062290725447,0.00225408960537695,-0.03303434516067128,0.05642353076493585,-0.21117758680558696,0.004237359890108777
7,0.16071281155963624,-0.03372211555148543,4.853861764425706e-05,0.07832888482142987,0.017520100488096133,0.04399477769252677,-0.0020232583185958992,-0.0021725250289359372,-0.12798622621407074,-0.15302353542676334,0.001106164395196231
8,0.1653730950352073,-0.0013660336408576953,-0.0013728566414382326,-0.05905481167411955,-0.012004411937433358,0.025177485143174597,0.0032865271944034105,0.0272886793146492,0.045173760562801604,-0.21301626592081002,0.0010895647135752311
9,0.16566502624871748,6.441549504602265e-05,-0.0002646463070295168,-0.06031700032953431,0.025887232215592252,0.03572270379939693,0.0030772055644024323,0.03912034522206829,0.04751210521935768,-0.21222234599937898,0.00536321981539213
