,AE_20-500kHz__rms,AE_20-500kHz__skewness,AE_20-500kHz__spectral_skewness,AE_500-1000kHz__crest_factor,AE_500-1000kHz__mobility,AE_500-1000kHz__rms,AE_500-1000kHz__skewness,AE_500-1000kHz__spectral_kurtosis,AE__margin_factor,AE__shape_factor,AE__spectral_skewness,US_0-10kHz__dominant_frequency,US_0-10kHz__kurtosis,US_0-10kHz__mobility,US_10-20kHz__complexity,US_10-20kHz__crest_factor,US_10-20kHz__mobility,US_10-20kHz__spectral_bandwidth,US_20-100kHz__complexity,US_20-100kHz__spectral_bandwidth,US_20-100kHz__spectral_skewness,US__complexity,US__skewness
0,-0.05466909072264194,-0.00216049975022311,0.006149249538195347,-0.0349824574874607,0.21134884392240483,0.010692453557201486,-0.004550776197449166,-0.0010162956732812259,-0.017735300500528902,-0.01857917417965937,0.002233035727297574,0.013655163343277845,-0.014323758235042703,0.07456484530724092,0.003933807677635278,-0.0002585979588995602,0.055052234777372304,-0.001947278840713505,0.028256581229876856,0.002191347752298995,0.0003664181507078669,-0.004720509285795256,-0.0021561505632363394
1,-0.056607156114664735,-0.006237163165544772,-0.004188633510793208,-0.013560889716791527,0.035255844496019616,0.021305318855648084,0.0018341124962568814,-0.005211148473019251,0.002277995103261522,-0.0228688028269392,-9.60816187377552e-05,-0.01792478121180655,-0.015650121974916498,0.12212318356585104,0.00209399167853048,0.0006369299974313659,0.06867562693905317,-0.0003732398032549758,0.015628682822235295,-0.001864699213230029,0.00014593136026598926,-0.00027039358129452425,-0.0037402824824680422
2,-0.07373968284962938,-0.0013270816861713694,0.00019924473624315136,-0.02327154240235985,-0.12412914906670633,-0.010536494742914465,0.002455301270269725,0.0004664142167865485,-0.0051564841692909045,-0.014623442221554185,-0.00033920321226794687,0.0012872911215934411,-0.0064545956201088935,0.10580023774177227,0.0006041747098922928,0.0031921605228245596,0.055710130208933714,-0.0001095751727358778,0.011308176389423353,0.000256561517719786,-0.000630513027143368,-0.0048263638429516835,0.0006497566401639117
3,-0.010467316569927365,-0.013631657044835424,0.0010135171959770282,-0.00659320218672136,-0.11514916209352966,0.0028217678883099926,0.002497664371058651,0.0015323286951082896,0.0017752449060648612,-0.005614367372708672,0.0034692958700390146,0.016043865537415256,-0.010189371311825996,-0.041321285863137255,0.005822789364283027,0.007960143756878988,0.09496312366725516,0.0015290721510941014,0.01547588949483966,-0.0017339092441429707,-0.0012761045680162206,-0.0044697431360925174,-0.0034429523986960354
4,-0.058031188436201434,-0.0006151934610334652,0.0038283068439471223,-0.0242031450380168,-0.1914467674619777,-0.0003615362132026733,-0.002129187598748901,-0.001869491168718495,-0.005090242157646647,-0.017424331769915098,-0.0016896769557976172,0.01872855508800381,-0.004810481671035473,0.02952230288692683,-0.0014882667587219013,0.0065689478511672976,0.07102156215816585,-0.0006868982773912914,0.012525022331810068,-0.003072037505611285,-0.0005981268147571834,-0.003967440750688064,-0.005322122339079761
5,-0.05962259545315541,0.00032600467309544534,0.001498978236701219,-0.025135375671348013,-0.12035005725322175,-0.005159093874865537,-0.0037167847313986395,0.0012745134600290892,-0.004247692952842561,-0.01691402973001115,0.0005498079149924084,0.0031272802667256052,-0.0058909189146512785,0.11088607801919066,0.0005187426033060131,-0.008922673243903147,0.03168008821780127,-0.0006278649771816773,0.008434352278128728,0.0008675423052046943,-0.0020810728812914237,-0.0017701344492726436,0.00015909986889662452
6,-0.07061747455245358,-0.0012808656226731552,-0.0014519136900754109,-0.024976172194049438,-0.10521159299348834,-0.0013204517586999204,-0.00035964985577625766,-0.004259544399763427,-0.0061903053101062845,-0.01849677211675969,0.0016273499919237406,0.017187552919585927,-0.0018047156791904362,0.08177645981065565,0.003788893940319083,0.002357815245277468,0.06662559731997436,0.0003951366609754321,0.014603020669301638,-0.0010577042787855472,-0.0015784952790444617,-0.0042375743683960064,-0.0066727532686173775
7,-0.06627902073174084,-0.004794559980699927,0.0025233114505861013,-0.0030269280683325743,-0.1799270275748918,0.015923737017989884,0.0004127554866472592,0.0022259725521677647,0.0024328535981916685,-0.013969865978651122,-0.0002863457678261249,0.012160083410438283,-0.010781958416084956,0.029184119190695103,0.0034021343607623968,0.005322104990117437,0.07700964976160851,-0.0009923594212883208,0.014482933685540251,-0.0009602367067975162,0.0009903961419283462,-0.0011434230694306572,0.003590655474697939
8,-0.059220422519653725,-0.0016839569542983347,-0.003668927394827552,-0.027861567467439174,-0.19604324018803437,-0.00228161057237681,-0.0019085826922883306,9.587537789046379e-05,-0.004706126053096788,-0.01635400808074697,-0.0007049691737912326,0.012896640228381618,-0.010239727766039384,0.04220227420901481,0.001213474012330263,-0.0005349391577967916,0.047179217743876845,0.001009565979183583,0.012881660506951862,0.000981626275309721,-0.00012452935205217047,-0.002685115097395874,0.0002545199488608553
9,-0.05416389639272799,0.0006285455219939069,-0.000930159459481789,-0.026125108302289254,-0.1379451351280535,-0.007858109791026394,-0.0009791608696724738,0.005291879454300651,-0.004251910123870703,-0.016585539033956525,0.0035258592970855954,0.008132345407609145,0.0016400545190308413,-0.041385605811313224,0.0020661089190543687,0.0058252285745615156,0.06145620637822258,0.002270117862881752,0.015865785119082675,-0.0010723565387794536,-0.0010456421882674442,0.0009851799832100278,0.01084713489770719
10,-0.06916544319065733,-0.0015581444332493715,0.004555591714241043,-0.026084007352986202,-0.179850873622731,0.0007625056041510015,0.0022470251947533737,-0.0001203056466967292,-0.008093504387343126,-0.021120575536931384,-0.0025616147575519073,0.015112237794531698,0.006003061443961246,0.06736626253615555,0.0034359778610293353,0.0012130634556948125,0.05676690982101082,0.0029666246475729308,0.012510317996463243,0.0029533059972670994,-0.00623616909979156,-0.0033625860492850694,-0.0005273844175337308
11,-0.06563635365637449,-0.0005895029026530783,0.005375705716669681,-0.019656202036120094,-0.19521664535265337,-0.010347711360625327,0.003932955114683001,0.0031449162435188706,-0.005417387205359053,-0.016921520515417267,-0.00033468406425250254,0.010972618390519377,-0.0040955537318789524,0.08929584186966348,0.004224221394449751,-0.007224496643609902,0.04302295176447613,-0.0021481652517576512,0.009305244303508462,-0.0022399913956334476,-7.848861760134437e-05,0.0009527522552082136,0.0021024797704259517
