,US_0-10kHz__dominant_frequency,US_0-10kHz__kurtosis,US_0-10kHz__mobility,US_10-20kHz__complexity,US_10-20kHz__crest_factor,US_10-20kHz__mobility,US_10-20kHz__spectral_bandwidth,US_20-100kHz__complexity,US_20-100kHz__spectral_bandwidth,US_20-100kHz__spectral_skewness,complexity,skewness
0,0.07379495702146655,-0.07168641037146689,0.04545753098538813,0.0185326599761738,-0.015650082436794045,0.10285754399137562,-0.0064919603929645565,-0.22287974347643436,0.017575228507910417,0.006573840948654276,-0.15442716881629345,-0.0025823126938461986
1,0.027726304372029203,-0.10923063791156506,0.10128770333799199,0.0457606861784674,-0.024229384061127006,0.06773573688386045,0.005502570237912959,-0.20465748421037036,0.0008639999175886121,0.0016401218708645181,-0.03690635842897298,-0.000548352293197968
2,0.032959475237851844,-0.017222750373183732,0.09076380995716626,0.04526306133238713,0.005967318082539952,0.08524227793833185,-0.00041004172729055584,-0.21348328195561156,0.004929767467130764,-0.00824835695380293,-0.2196502235442901,0.012732300042353598
3,0.06489228267773244,-0.01679574215505591,-0.037090797375487684,0.041470530858862834,0.024791095366335676,0.0964198918825207,0.0028101567354757956,-0.2243356318377375,0.0017360889559669196,-0.002569115546292753,-0.18294507095264917,-0.0036195769536028284
4,0.072462740458914,-0.018054974594504673,0.01934875097310496,0.0018623323822119645,0.026732632262424293,0.11683990702683324,-0.0015452111593528143,-0.2501013614010076,-0.0011950848385332607,-0.0005677085624981597,-0.21080244434840623,-0.005073030328107197
5,0.039432570960770734,-0.13824439975474773,0.11934692141727576,0.017778087387944848,-0.13114299932485254,0.0857204580740112,-0.0086948104065647,-0.2291054732473562,-0.0005155212133275505,-0.010411015448203047,0.004548627511419231,0.0006235355793263685
6,0.07298479753841497,-0.0158865298041964,0.07925020010968296,0.057974812250128197,0.012580409347234544,0.09643757311090533,-0.0010658533507660233,-0.23314125279743778,0.0004746580073836026,-0.0012915748791898776,-0.2091389434191773,-0.006708107755484742
7,0.05938824186378338,-0.015061581227275732,0.01269675395877732,0.035419464164410816,0.02577459721257983,0.10535245666184714,-0.003237767410696634,-0.2704666677720295,0.002809820995022914,-0.006097201373960274,-0.18852218513451285,0.015011035262347644
8,0.06872816188042483,-0.07620307509968487,0.059339941018930656,0.026757072755816503,-0.02350247758426335,0.1094992312139472,0.008958625719671291,-0.2233594449207897,0.0020931764618106487,-0.009110918001204147,-0.17334954555780738,0.020664732756039795
9,0.00464555516713286,-0.07204193613082355,-0.055140157525075395,0.01439811234854169,0.01619162509595762,0.07907819745226173,0.008583902577125907,-0.18448127354494057,0.0015944650292609487,-0.0015544930973521293,-0.1424289290916152,0.04753660003090477
10,0.04930754806869814,0.050271803450866556,0.0916511406280154,0.041616174624328574,0.011478776967737244,0.0825596521570519,0.008253543468632964,-0.2817655187265189,0.021864929520875258,-0.00970908743026132,-0.2357674735681641,0.005798549483842248
11,0.03312488828440278,-0.13845840667767256,0.1079647708728799,0.036786076270112336,-0.11630725274449784,0.092151557183628,-0.01540049776692962,-0.16851587757692996,-0.006459552889464237,-0.017566042702412837,0.04861416891444692,0.0059742183106961675
12,0.04780345535700235,-0.14829739499077887,0.1086784806525338,0.018822858391507723,-0.1404931341880299,0.09822904102232513,-0.003631238134182799,-0.16631373286354015,0.001330390818649125,-0.011807606686414774,0.03740323267622036,-0.001982896392821818
13,-0.011621775335241752,-0.14009778212486265,0.13149955931425586,0.02898430099776878,0.00011058734130757331,0.09764246817665892,-0.0008732845519264468,-0.13427021322796714,0.007101041340300859,0.003954262254491771,0.08150845213000965,-0.001521729657797343
14,0.025768022710587476,-0.10928766961899394,0.05522628321087241,-0.017859527927824664,-0.015889386771101285,-0.07312632966718483,0.0001143116689643537,-0.14095616832590177,-0.0028305599538347376,-0.0023966881757937946,-0.02311806045109956,-0.006325271549065566
15,0.031061656994233588,-0.10464880974922579,0.12452985865366699,-0.019633568249742488,0.0034337076114221497,0.06915451259703338,0.006309450659189167,-0.2410241718122118,-0.0027593362010135307,-0.00504150179861522,-0.011096678638506836,0.03892792843057164
16,0.040644716666302816,-0.1355542575419634,0.10675197225639921,0.0100825927756781,-0.1015830382258229,0.08933839724020164,-0.004695097606670356,-0.16914790422624623,-0.0031184451627036583,-0.011830825890643697,0.045987998479659745,0.004090945310358515
17,0.04821570253170027,-0.11299886994909904,0.04815509593089138,-0.021108392091627053,-0.05800270071817655,-0.05425858275042557,0.012762052415471362,-0.11108363617433023,0.013041082185119868,0.004990855753730374,-0.001850923065578016,0.04390381068700513
18,0.026178293403348346,-0.12558656462544387,0.13854101199979613,0.042442323413244394,-0.029767897560279852,0.10720214689467399,-0.009118832944049401,-0.17161081112633672,0.006939892296761484,0.0022851324345615777,0.09082215106687112,0.0063854030702804555
19,0.02193485148324852,-0.10257118739580537,0.1114983040673824,0.011561073682635193,-0.007773765548773611,0.1662013450021658,0.017366976457321947,0.08298353860910727,-0.0023546941184472946,0.016617520015550672,0.057062638408794615,-0.012674477820724716
20,0.11033339101505496,-0.14501018536582833,0.19739926649149847,0.017201120089858406,0.04827367737122161,0.17320584181114396,0.008909474443509355,0.0951169199749128,0.0014870894088263556,0.00392923544707546,0.03476566370837938,0.0007091835854980417
21,0.001257029169558418,-0.18482816924533035,0.07349312715209473,0.04303330983497678,0.025401649314445964,0.14911746070552248,0.007205100308828551,0.06291257801258314,0.01635786149325685,0.005983687462853646,0.0352138599287572,-0.029409232031627347
22,0.05183709754454015,-0.07768272743535712,-0.08453854279800065,-0.013894657001026524,-0.004651041556402978,0.10795272469484123,-0.006455962233560884,0.012575618666142667,0.0013499429998333954,-0.00025607401650830684,-0.01925346741332425,0.025081167991978813
23,0.00420008964342337,-0.07981560327253316,0.1459919912156674,0.0573146576592105,0.09724890898112987,0.13917178910934186,0.006566028967677224,-0.1338003787900288,0.0012775130987492125,-0.006215868447947118,0.15326376618022713,0.005314069962842612
24,0.027596233158510678,-0.19906654114608507,0.07919215454694208,0.005992676052885187,-0.008073082174721039,0.10905970468572211,0.004972690598173299,0.07159683439423374,0.0025241561238748284,0.001314518556721201,0.011559610454910128,0.008519027407618299
