,US_0-10kHz__dominant_frequency,US_0-10kHz__kurtosis,US_0-10kHz__mobility,US_10-20kHz__complexity,US_10-20kHz__crest_factor,US_10-20kHz__mobility,US_10-20kHz__spectral_bandwidth,US_20-100kHz__complexity,US_20-100kHz__spectral_bandwidth,US_20-100kHz__spectral_skewness,complexity,skewness
0,0.028511907278030185,-0.03845646393708504,0.08743467314440294,0.12820556450204368,-0.03558273502555011,0.1229839544224347,0.007159987903718768,-0.06853772635400882,0.04043637587403354,-0.0010665884875594306,-0.21774338004678886,-0.007058577594828868
1,-0.014573107217943792,-0.0931129489911388,0.25617478262183163,0.19503386209866774,-0.030487236973981813,0.11443066076271004,0.0004062735323046456,-0.12611249594997212,-0.0023871410672952633,-0.0003696093609749589,0.016843965281311078,-0.005383239592264323
2,-0.016168848495572458,0.02095294717339229,0.23217689952357284,0.18587899275536884,-0.011949232370438554,0.13609804933867156,-0.003799120767133706,-0.05136043872288369,-0.015270267878585304,9.215527297060111e-05,-0.22154986664802406,0.006776559090964816
3,0.028511907278030185,0.018205909118664498,0.016014107019934387,0.15754692760135436,0.050661997299342953,0.148865502035515,-0.0029598766802629525,-0.06297423341228428,-0.032825972638738904,0.0012553050160149684,-0.3067389060725559,-0.009412414678007007
4,0.028511907278030185,0.021184344318146812,0.06639825726658034,0.04122119330465718,0.03951910449391765,0.12615449513314306,0.0010597545307355352,-0.05855321896949607,0.009908247693854557,-0.0006507695152926583,-0.2504250243766847,-0.008387805282426903
5,-0.0002114357192857981,-0.38229173647869014,0.45032333889484844,0.12975168180032556,-0.11762697209227303,0.0842234657837715,-0.003254856299533638,-0.21942089204989412,-0.02060590591758284,0.0003751218065346672,0.03058876715058199,0.01121501747613325
6,0.028511907278030185,0.023742297104607606,0.14233741059402713,0.18921413811573018,-0.005035430799574174,0.12898338239809948,-0.00025329752488945594,-0.07688015652584641,0.0031525820003846165,-0.0005083124941449743,-0.2116118316963758,-0.0076613966366132795
7,0.028511907278030185,0.017590966393029747,0.05206994869044877,0.14218606755333363,0.02580150128686331,0.1540749201331391,0.0005904357298236114,-0.06264631493385919,-0.02084915457821331,0.000384646806030647,-0.3050970095162754,0.012856617755172346
8,0.028511907278030185,-0.024947757426468077,0.0951964060879382,0.114308957791153,-0.045061568244654585,0.086868137510366,0.0024127114509490746,-0.05322017510794464,-0.02579085119656907,0.0007189816688838845,-0.22966127358723726,0.012668259375846945
9,-0.004200788913357463,-0.31398197135592754,-0.017135026459118154,0.09264173621680473,0.04001060798453531,0.14446332886914684,0.0029374780203229476,-0.058117511889599544,0.014014638463848645,-0.0007256812492678358,-0.2576519239445405,0.043541059993838276
10,0.028511907278030185,0.03909709702942705,0.12661033625224033,0.17385880374392967,0.0016369794084534512,0.12602539632991908,0.0033257456652222663,-0.051239479535929486,0.07104663380034668,-0.0013055840999775434,-0.31660520327022285,0.003753164207852829
11,-0.004998659552171796,-0.2815273178511049,0.6112819908434585,0.17299190857431998,-0.06685919145088225,0.09702692946163569,-0.0037741356130895883,-0.1858923257143516,-0.03086814651299725,0.0011930627634854348,0.06775913207132388,0.013329272499323495
12,-0.00459972423276463,-0.31693623407710786,0.3961889959610967,0.09624547286637584,-0.1083405410322804,0.07618097753419152,-0.004717052146291524,-0.19426849095426346,-0.004167106344714725,-0.0003117100896858501,0.03948087371423158,-0.003130796782577511
13,-0.00340291827454313,-0.15644439993578851,0.2687088450799098,0.11196132906220525,-0.04024837869203251,0.11974092822328036,0.0050295753880594506,-0.08694714143044284,0.062475065416143796,-0.0012469169162952684,0.03964984606745459,-0.00684522566276845
14,-0.004998659552171796,-0.04383117390956091,0.10888732224360047,-0.051442665590686595,-0.018069854193602998,0.0132823148722212,-0.0004477740634927378,-0.2180015905944255,-0.01909518134193913,0.00028880707455475416,0.005373539691885779,-0.011836542442329867
15,-0.00459972423276463,-0.1806747455188496,0.2507078857553995,-0.004075314806841416,-0.01465282467038154,0.09586166358124786,-1.4307613300599274e-06,-0.21403055550190078,-0.02080776806950747,0.00037947411786746967,0.020590846228611303,-0.040884618406010764
16,-0.00459972423276463,-0.14835002126367453,0.42338441555039585,0.08008282848676647,-0.06332806219356493,0.08084478461992652,-0.0021019840599599826,-0.19170992352813196,-0.028022926543730543,0.0009082303817609954,0.04455765529945417,0.00904581005975742
17,-0.00459972423276463,-0.20142381935781428,0.09459179178738719,-0.025184161003480924,-0.08020235394043233,0.019889292303475088,0.004040032393539722,-0.18932277142788342,0.029592232437614965,-0.000947253929186701,0.011452709501230044,-0.05063445253927255
18,-0.00459972423276463,-0.0838572513673903,0.4938096079034407,0.1565693693548641,-0.05104567286982394,0.09678002118343304,-0.0029722269983427016,-0.15810750421822078,0.0002465387172020299,-0.00043331819524511,0.055251615667782465,0.005946749316395352
19,-0.004200788913357463,0.019420552076273623,0.12172406459995656,0.0626336210262011,-0.0030157380124773933,0.08632467761670848,0.004136546198817015,0.0022187820584973375,0.04319384639406154,-0.001090707411132309,0.05331453894173495,0.00590969999922536
20,0.010559817904707699,0.012234022836588167,0.22613833692182767,0.09160774259115875,0.016104595398168095,0.08382718223623283,0.0027326976374950516,0.0046976919189042465,0.025100506931109767,-0.0008890361965851355,0.044032740373193546,0.008587990589401745
21,-0.004200788913357463,0.008159749390352522,0.11016769301887405,0.13088997050258713,0.011862324330690578,0.12013615360979385,0.0030872015856685075,-0.007324020588435617,0.03639011673404404,-0.001022892757580317,0.043279807900880096,-0.014352332598408834
22,0.009761947265893365,0.0013908741968497223,-0.030487172814723077,0.01486251250989327,-0.010551783961326052,0.054981038704468244,0.004835377748552885,-0.017196762057475685,0.015428182025384764,-0.0007452264966368495,0.0060155499367072094,0.0216196319574461
23,-0.004200788913357463,0.014507280670543441,0.174761808493859,0.11107752068410519,0.01753435081962671,0.09166541076058271,0.006174453403837775,-0.08722776145997656,-0.014668780968094415,7.205741112443538e-05,0.05753823589939363,0.004530796580710968
24,-0.00459972423276463,0.006320811175678653,0.13175378725017522,0.06205033041045291,0.008599459689717651,0.10406399573018005,0.001964302288625175,0.001986167800933545,0.015835417858496473,-0.000751967106985698,0.03683237780831577,0.009251187958372242
25,-0.004998659552171796,0.03454275805628447,0.10028098110573105,0.07292554318551513,0.022250612850739114,0.12018298134805909,0.004556776790453812,0.04651542880884327,-0.014618462933045076,7.48545221087014e-05,0.03331906646711898,-0.005292797083053538
26,0.011357688543522029,0.007272877073479592,0.1592098981972952,0.06186674799816856,0.025766298953179348,0.0992316103659284,-0.0004249626570488578,0.041004527764906755,0.018533516059151732,-0.0007947912197458634,0.03254770902712755,0.011941144055769898
27,-0.004200788913357463,0.004477817626988624,0.147790023145273,0.12013147405595957,-0.006319103044245601,0.10375099211277336,-0.000736411036449901,-0.02416545893508501,0.015371063158776812,-0.0007444156123541705,0.03995103094128341,-0.009830244030015808
28,-0.004200788913357463,0.007742141830467108,0.19863212269180755,0.10713682267177381,0.01709512088637326,0.09754435985700959,-0.003475632684641665,0.003866284780171413,-0.022082320724459807,0.0004752238399843132,0.04947202564985254,-0.0042541324353196006
