,AE_20-500kHz__rms,AE_20-500kHz__skewness,AE_20-500kHz__spectral_skewness,AE_500-1000kHz__crest_factor,AE_500-1000kHz__mobility,AE_500-1000kHz__rms,AE_500-1000kHz__skewness,AE_500-1000kHz__spectral_kurtosis,margin_factor,shape_factor,spectral_skewness
0,0.11435455497848902,-0.0037629981736550327,0.004807461742717373,-0.020610389900542144,0.24628279337112427,0.008759280134725659,-0.008861659102529403,-0.0003112521688119163,-0.05711562394875013,0.020605375606725505,0.005284526000837946
1,0.09547704070537932,-0.00611266021929624,0.0007467888349724494,-0.03346286016349293,0.04909115000799057,-0.0011005056011214132,0.006487929190404714,0.001777825786827565,0.030363783094693484,-0.013758506157777038,0.0015110213176605417
2,0.020772628028796324,0.0016986473539249722,0.0007672729174342277,-0.05172574361354902,-0.14775675361426938,0.0006771362671955285,0.016410518272559817,0.0007858376190543686,-0.015726377438545235,0.025965867155173218,0.00045924773474917104
3,0.03796746565995619,-0.026605310345455234,0.0007477721493238771,-0.036318094951408794,-0.18918784918275008,3.298802738450985e-05,0.0014308150527147043,0.0055014038924911714,0.015113817023738643,-0.028656485614818303,0.0014959689837296996
4,0.015699751528686266,-0.0007014772848381179,0.002506769587425379,-0.049678819616927994,-0.19883185270669854,-0.017589157545263592,-0.009113215182652167,-0.002072500358555643,-0.010787465566539301,0.0197403535775947,0.003870558972990738
5,0.0011488106604119132,-0.0014231900460103131,0.0006116862279689562,-0.0554990503782557,-0.19428177014046355,-0.01724005368913851,-0.015294389769195789,0.002752525749756005,-0.019066529446293345,0.0047557434415494955,0.0005193151888029127
6,0.026337122935483955,-0.001747351685309254,0.006644753640833879,-0.05513768078731485,-0.14202759088247027,0.0028140955118750835,0.016586350602546266,-0.0035379409563120402,-0.021304466313072905,0.032135063558356575,0.003615607649336408
7,0.03940620084555205,-0.001655840674249019,0.003441403450226086,-0.028937194000933173,-0.22746253482177087,0.004798104381292126,-0.0010605338415397242,0.0036211202349421185,0.013765428355720368,-0.02186932350818592,0.0026603217954455304
8,0.021794019160909433,0.00047041011127161545,-0.0009004275244600905,-0.04300147793727442,-0.20535705969191864,-0.010599249251588592,-0.005616462386042662,0.003710034191386819,-0.01125578644009625,0.03166542147180047,0.0012968385772054941
9,0.01349128937049685,0.0008492751563333465,-0.0009433606770755218,-0.05116351195831296,-0.18576518771710895,0.0031872787071504497,-0.017276324130644515,0.004700429322423697,-0.015329231203844794,0.027903074507594168,0.002936025567630299
10,0.01009266867663368,-0.00045510939409266235,0.0006700273167399965,-0.04481454517281606,-0.19490180717981062,-0.005049152427218139,0.014739604677290461,0.004261060594687896,-0.00953693327813411,0.021393887723764302,0.0015657092642749053
11,0.01483370299521785,0.0007209262649804819,0.0006672903598928698,-0.04054238322216683,-0.23093184510867676,-0.00875334046379028,0.0016611406787764161,0.005577231600123122,-0.014443842250604525,0.023604601594256005,0.0009637030448215298
12,0.07034244410736237,0.05118169370792146,-0.0006731439301377597,-0.04132528280781616,-0.08454588644088779,-0.026097851491441615,0.0032589305422487187,0.0008009386159839894,0.0071839275909941535,-0.02150499152885648,0.008142525950922444
13,0.06323112942626885,-0.008456346856527538,0.001438716287166964,0.09445403305738055,-0.03564013393858564,-0.013570325038828998,0.01615180129329222,0.002852858805154507,0.031925479976215955,-0.014379526900581106,0.004940631467234969
14,0.05625620848399931,-0.002835757693659936,-0.0027480249605376346,-0.06393352941402891,-0.12240112373795294,-0.013747887200837453,-0.007974662156186618,0.0002420209095398126,-0.014040857146349396,0.021694819675040843,0.001955554955838386
15,0.0725383048692884,-0.002239316601230073,0.0014042809108061037,-0.03599373292213996,-0.0582086113289082,-0.008621577455022341,0.011444354896409596,0.00048475683328854426,0.020089897968907436,-0.0036305746085546235,0.001096928561716704
16,0.054204112480029834,-0.00543532689674518,0.0002476676501314303,-0.05784188968911749,-0.14970799539918017,0.008860325730137687,0.01713980343812828,0.0012276339636959283,-0.009513788744685734,0.013883325656612624,0.001902074874186539
