,AE_20-500kHz__rms,AE_20-500kHz__skewness,AE_20-500kHz__spectral_skewness,AE_500-1000kHz__crest_factor,AE_500-1000kHz__mobility,AE_500-1000kHz__rms,AE_500-1000kHz__skewness,AE_500-1000kHz__spectral_kurtosis,AE__margin_factor,AE__shape_factor,AE__spectral_skewness,US_0-10kHz__dominant_frequency,US_0-10kHz__kurtosis,US_0-10kHz__mobility,US_10-20kHz__complexity,US_10-20kHz__crest_factor,US_10-20kHz__mobility,US_10-20kHz__spectral_bandwidth,US_20-100kHz__complexity,US_20-100kHz__spectral_bandwidth,US_20-100kHz__spectral_skewness,US__complexity,US__skewness
0,0.11445351281497175,0.0008147848429424751,0.00084538719424146,-0.06972656074920106,0.07211785704588779,0.039076485064623925,-0.004237766839180133,-0.005908781377968899,0.039135084847511055,-0.15697341441648133,0.0019902145203381607,0.24314486731801796,-0.015436652792600975,0.054226436424084715,0.09466816393905225,-0.020941944699678614,0.07689764784093855,-0.006820611984864023,-0.013684498278642467,0.023337634932881112,-0.0026341001934028934,-0.1286506213765527,-0.0017903152813773659
1,0.11075742962880367,-0.021871404984511733,0.00029339974050029185,0.04735275568201501,0.05783198495194042,0.056881032610217874,-0.00014219072901224805,-0.01630278224228654,-0.07321629685070434,-0.12240502210382206,6.989457124028983e-05,-0.12427706734472081,-0.03737609017882898,0.15887799500724414,0.14401479142138848,-0.017943028558560156,0.07154956672893897,-0.0003870165928815161,-0.025180091688900272,-0.0013777255146547318,-0.0009128057358423442,0.009952020582302464,-0.001365387852703791
2,0.11533885931881875,0.0012902507499061547,0.0009342152620551315,-0.05531283186603226,0.027253344537927285,0.03205716716117394,-0.006087971308207226,0.019325602261451535,0.03352816133651209,-0.1583551544623239,4.711051102090679e-05,-0.13788528714704446,0.008410637312534032,0.14399465827890584,0.13725475198629666,-0.007032628698318141,0.0850974415242474,0.003619046426433145,-0.010254816911540487,-0.008813152251524379,0.00022759126428451246,-0.1308996305836533,0.0017187850006209588
3,0.09814972517692395,-0.5346908113825667,0.0006148298342822871,0.04708730654124163,0.030531671856171883,0.04712214082458414,0.0004970592551815275,-0.003666584163133688,-0.07124899874805482,-0.04926796014609311,0.0022452653388709727,0.24314486731801796,0.00730795993875703,0.00993184883039218,0.1163340953896058,0.02981672839528178,0.09308049171903451,0.0028195816292700244,-0.012573670510720518,-0.01894533199874561,0.0031001639564203582,-0.1812323794097377,-0.0023873350694680736
4,0.11417929064371968,-0.0007814052735622051,0.00082185949671067,-0.03831846652721094,-0.0021172143702112545,0.026191699519912313,-0.0035944906689072734,-0.0071350159838146346,0.027380416451835605,-0.15397810517821053,0.004274538257486726,0.24314486731801796,0.008503521499354186,0.041179783109496604,0.03043810696271645,0.02325866463885316,0.07888007818465609,-0.0010095232772103647,-0.011690954264492865,0.005718491395571081,-0.0016071728938454185,-0.14796011243775106,-0.002127456385171431
5,0.11459478051419278,-0.0007292288263645878,0.0006107267193700257,-0.0515836013475724,0.013545283406468779,0.0045424547128231855,-0.004058401111989589,0.006493025854815925,0.03333945905700269,-0.15221152910411737,0.0024558062435082652,-0.0018030891238078836,-0.15345417121960594,0.2792877130853236,0.09580983112355593,-0.06922844865573788,0.05266204394060646,0.003100579523895419,-0.043810394351947196,-0.01189258679521404,0.0009264195466834644,0.018072943940796015,0.002844541538106073
6,0.11491070108236745,-0.0006251072632862638,0.0001656196300327421,-0.058904457004108415,0.03843249924696299,0.02988816262030473,-0.002930565484974868,-0.01820992438627189,0.03594454347918754,-0.15462441161933257,0.0032216789993333,0.24314486731801796,0.009530298924576151,0.08827677017329762,0.13971745388977155,-0.002963564022496344,0.0806488843488743,0.00024129148781104913,-0.015350179027031185,0.0018194955959986044,-0.0012553539202360625,-0.1250278820532653,-0.0019432123952665074
7,0.11103550488729322,-0.027060866613312366,-4.629366650553023e-05,0.04969911507502644,0.012201548297281295,0.047365733211069926,0.0026304593133838062,-0.0011975874294401375,-0.0815334738985831,-0.1120439649263356,0.0008410205161314336,0.24314486731801796,0.007061118280135234,0.03229345591084561,0.10499149553507545,0.015185274901723902,0.09633776215084489,-0.0005624496953458874,-0.01250819708327758,-0.01203297643985951,0.0009499429611091473,-0.18026228786364287,0.00326091183736157
8,0.11425526642096491,-0.001096196176900865,0.0013093608883639769,-0.0374698540368228,-0.00836024953935467,0.027106627349087812,-0.004272848398916809,0.015042671029319893,0.028777890689483436,-0.15597069405701314,0.000828399722273723,0.24314486731801796,-0.01001417784995682,0.05904021456114271,0.08440678216975969,-0.026520639000423805,0.05431566644804351,-0.0022983514580820577,-0.01062613882012911,-0.014885049830103617,0.0017756330348115146,-0.13569214157867698,0.0032131372141671194
9,0.11445695992237213,5.1691274131646775e-05,0.00025240619684178755,-0.038270703677091,0.018028681649177536,0.038459838791905704,-0.004000707157203855,0.021564784317469433,0.03026753038479188,-0.15538938520420786,0.004077674093340579,-0.03582363862961703,-0.12603422620673801,-0.010627036042964385,0.06840750716113497,0.023547935233505964,0.09032796385089129,-0.0027982446423245096,-0.011603959362531288,0.00808847254770036,-0.0017921786530990936,-0.15223002466117116,0.011043616653225622
