,AE_500-1000kHz__mobility,AE__shape_factor,AE_500-1000kHz__crest_factor,US_10-20kHz__mobility,AE_500-1000kHz__rms,AE_500-1000kHz__mobility^2,AE_500-1000kHz__mobility AE__shape_factor,AE_500-1000kHz__mobility AE_500-1000kHz__crest_factor,AE_500-1000kHz__mobility US_10-20kHz__mobility,AE_500-1000kHz__mobility AE_500-1000kHz__rms,AE__shape_factor^2,AE__shape_factor AE_500-1000kHz__crest_factor,AE__shape_factor US_10-20kHz__mobility,AE__shape_factor AE_500-1000kHz__rms,AE_500-1000kHz__crest_factor^2,AE_500-1000kHz__crest_factor US_10-20kHz__mobility,AE_500-1000kHz__crest_factor AE_500-1000kHz__rms,US_10-20kHz__mobility^2,US_10-20kHz__mobility AE_500-1000kHz__rms,AE_500-1000kHz__rms^2
0,0.2109278240190965,-0.003820492884681167,-0.005314979516960779,0.25273655862161193,0.1104801351596076,-0.03697311627933306,-0.12288831369523688,-0.012621989321208399,0.018649293461317298,0.0015281413765946981,0.003407327235081718,0.007668513202605104,-0.03444657173576828,0.021575830408477638,0.029113778464926302,-0.02830769180449841,-0.006099544744729149,0.008339572236130337,0.009227137373962377,-0.004380203664470169
1,0.1691449974290866,-0.0029791510730354143,0.0036095129864044204,0.23515922493941796,0.16081856288768528,-0.04554573448687006,-0.09794015916734737,-0.001844091417856485,0.007661471710175712,-0.00025613990877581475,-0.00010506819393782102,-0.00962904494626667,-0.025777805716892407,0.023960463366565928,-0.027489123214952515,0.015575932497751683,0.002426631574899963,0.0028874039191086154,0.012954995589942326,0.0317259326762215
2,0.0797096432991628,-0.003854122324629606,-0.004216278061533753,0.27968650696350933,0.09063456334272312,-0.05783791945364805,-0.08199202234879367,-0.007720101229408535,-0.004110806189479924,0.008537727184637321,0.0035650852456976015,0.0054339228576380984,-0.03891497885880469,0.01866121358070125,-0.0025228460764859487,-0.025807980268413612,-0.004558841056124054,0.017680917833333767,0.008481816021392174,-0.015003203745264775
3,0.08929798210989182,-0.0011991068161484875,0.003589278849931232,0.3059240927698719,0.1332274506957429,-0.05691524509305938,-0.06441460940199147,-0.0034432069775136476,0.00044463228876154113,0.006397337727967438,-0.00478283471706547,-0.006434247551239664,-0.01689387778820998,0.011288147022021926,-0.027877696122182903,0.02153853351670883,0.0017367708194851157,0.02791728951036464,0.01538238178566687,0.010308307745942765
4,-0.006192355657579622,-0.003747591637837728,-0.0029208649118091915,0.25925213662491586,0.07405124842304162,-0.06187025592345992,-0.054815036864285516,-0.0054273239901238175,-0.022791179310362994,0.01193932147601747,0.003069925273654235,0.002501816645601971,-0.034871191923745985,0.015786976675910062,-0.030925896484409635,-0.01665967196811989,-0.003303953800437633,0.010489041374493484,0.00570104724929748,-0.022313531670288416
5,0.03961677830818667,-0.0037045958774001415,-0.003932013591772619,0.1730823260427902,0.012842787927295677,-0.060667901286599546,-0.06874536938615848,-0.006577662817204662,-0.01776677002474901,0.011704597034496689,0.0028738725324747227,0.004496956983764085,-0.021577444400621315,0.0065703041723227575,-0.009580234727118,-0.012723168005102184,-0.0020122932228999663,-0.012321493715664374,-0.0015735374297117723,-0.03694926200702971
6,0.11240604989994922,-0.0037633217483714716,-0.004490053418246653,0.26506560420636777,0.08450218182374221,-0.05430160318238363,-0.09145717841861037,-0.008781803073936533,0.0012755506175515057,0.007563334698379826,0.003142196784524018,0.005786367858549562,-0.035884194358866646,0.017409254004818436,0.004712448715708221,-0.025611264334248294,-0.004533221607411828,0.012465537493728968,0.007089225935016941,-0.017872687314816716
7,0.035686668148942266,-0.002726978784042982,0.003788366668262336,0.3166296389413039,0.13391615439409996,-0.06085600837400409,-0.06411190271752756,-0.00445023479493848,-0.01207945282411402,0.009460506359717987,-0.0009951051469654696,-0.00945117517732957,-0.03312302336136552,0.019388740764253537,-0.02395228968757158,0.023793760333543728,0.0019500779395928913,0.03241760119967888,0.01623987858130343,0.010794872670488257
8,-0.024451769864302773,-0.0037960882043541586,-0.0028561785432892626,0.17851722390407931,0.07663800488441291,-0.061745687300081106,-0.0491363951758622,-0.005090188980344621,-0.02516877293881155,0.012547950597126668,0.003293678955766376,0.0024482992255940674,-0.02283826668833072,0.016324031765629268,-0.032091787212291736,-0.009882041151417591,-0.003326228864723645,-0.011241846183284701,0.002621871606150982,-0.02126710671907099
9,0.05272966704729434,-0.003781940035734648,-0.002917224138948298,0.2968774646812785,0.10873670395173642,-0.059924926824187506,-0.07311175189122433,-0.006533368987729075,-0.008945376592725271,0.009130914397618617,0.003228115304603063,0.0025522382209994714,-0.04091439459519258,0.02114314237142353,-0.03099215449527779,-0.01969968807770952,-0.004097234310314781,0.02426056250638224,0.011624182659169367,-0.005395266583225158
10,0.028398179349462233,-0.0037174464685812672,-0.0027720276069441363,0.2589868338266587,0.08647992212219098,-0.06116265359210525,-0.06536951529193534,-0.006044700617501911,-0.015979053944399708,0.01062414525481156,0.002932240267149929,0.0021455144921515503,-0.03458968012411446,0.017549378388777608,-0.03357256882704146,-0.01585710981307736,-0.0034932871714870918,0.010400161884422112,0.007023544047915532,-0.016968562635818366
11,-0.05395279772490681,-0.0039442807813231074,-0.004165235036755454,0.19939391574225024,0.008516948893171053,-0.06081717546547695,-0.03941504880543731,-0.004196337391760341,-0.029602850826953044,0.01223449964412427,0.003994610498912365,0.0055374758870189895,-0.026890550021428792,0.006031483498048568,-0.0038242365410466293,-0.016414562270176947,-0.001900209823679132,-0.00664518206730431,-0.001688480292606104,-0.03724854371969753
12,0.14879869519281813,0.0009013987426956681,0.00370763661559578,0.15655471630297194,0.16484926536790678,-0.04906773399464843,-0.044510829974940984,-0.0021570480603057274,-0.007799462524106024,0.0008802411867807128,-0.00549282432974437,-0.0026557800647117403,-0.0006937485411831725,-0.0006772010292607311,-0.02557145416695541,0.009064836281071055,0.00264340052840043,-0.015307686948072807,0.006432814642590154,0.035185263569574084
13,0.13019203480100147,-0.002443322555707719,0.004963900126399533,0.2460720202682698,0.12924127137253827,-0.05191449671042597,-0.0824308752441995,-0.001504335134695254,0.002342550525343261,0.0042847363751853,-0.0019065751721490333,-0.010532144794897884,-0.023091504688038618,0.01742512198554428,0.0038616992194570785,0.02317353811691286,0.002952106200925681,0.0062128402651956535,0.010717133066095374,0.007540416302374771
14,0.11769821308578819,-0.0035651648386325107,-0.002997216498196083,0.02729564655079485,0.10054195626525401,-0.05362545498515209,-0.09110829701334688,-0.007812859945152458,-0.026589476744244715,0.006512424969888668,0.0022531022757485883,0.0023441558906428014,0.00018292749068164914,0.01903710776922077,-0.02951886015721207,0.00227443606042372,-0.003969053115299202,-0.023241898362005693,-0.004005978641092085,-0.009955250473323716
15,0.14427189835000204,-0.0028693592125099594,0.0034431959980055736,0.19699925141492822,0.15587872068157757,-0.049793218123529076,-0.09047050935216543,-0.0024892563084370368,-0.002287449116551338,0.0017798839940701475,-0.0005018007830268444,-0.00916670406576849,-0.02051374262309343,0.022692678573776763,-0.030613341087760065,0.011681963156125248,0.002115949997261557,-0.007208659575303564,0.009314576648309644,0.027601239305798872
16,0.10035821548885569,-0.003348854886374766,-0.002945539916206809,0.16613901173776507,0.11170298167887094,-0.05573305395002452,-0.08415502131631514,-0.007445754636651053,-0.011556368129090047,0.006754024965861332,0.001335462091519905,0.001874111556572727,-0.018979561959199056,0.01967822127746296,-0.030474834346099974,-0.00915108001059921,-0.004188672161734639,-0.013630460359514304,0.00416130493417602,-0.0036588308086883347
17,0.1012334578342467,-0.0037024781699161297,-0.004777714799879401,0.04087322865658829,0.08521982247983194,-0.05563411027580659,-0.08747580589321316,-0.008655303661113993,-0.02472225778321577,0.007941211911934112,0.002864272552524964,0.0062207159288698395,-0.0017106658646194315,0.017310792977916902,0.012778074167688865,0.0017612780120370391,-0.004740702981875702,-0.02369375482772037,-0.003162401958380016,-0.017546962450077516
