,AE_500-1000kHz__mobility,shape_factor,AE_500-1000kHz__crest_factor,AE_500-1000kHz__rms,margin_factor,AE_500-1000kHz__mobility^2,AE_500-1000kHz__mobility shape_factor,AE_500-1000kHz__mobility AE_500-1000kHz__crest_factor,AE_500-1000kHz__mobility AE_500-1000kHz__rms,AE_500-1000kHz__mobility margin_factor,shape_factor^2,shape_factor AE_500-1000kHz__crest_factor,shape_factor AE_500-1000kHz__rms,shape_factor margin_factor,AE_500-1000kHz__crest_factor^2,AE_500-1000kHz__crest_factor AE_500-1000kHz__rms,AE_500-1000kHz__crest_factor margin_factor,AE_500-1000kHz__rms^2,AE_500-1000kHz__rms margin_factor,margin_factor^2
0,0.4069190376901249,0.22830234465021318,0.08337471841712117,0.09955171043950684,-0.26668066359780196,-0.047793509728110854,-0.35375642366691745,-0.31822332849547763,0.0006284927547378211,0.20564866270565885,0.01635129787020972,-0.012923039071804142,0.042527972408385545,0.053686100037121376,0.07753500928358821,0.0491033322320927,0.061758832587641775,-0.0037544886609343475,-0.039528109937167495,-0.049275607162258074
1,0.326312187138057,0.17802602846568163,-0.056621503037606435,0.14491078403156915,0.4989224044460269,-0.05887495356968175,-0.281938610748081,-0.04649290172145808,-0.00010534501540920094,-0.09980059487033562,-0.0005042079076156218,0.016226942665038317,0.0472283061951147,-0.20367259794546422,-0.07320827237305279,-0.019535178675452167,0.0667592226250642,0.027193862115735264,0.07401891255855739,-0.3438435137911004
2,0.153774740230487,0.23031194922775,0.0661396709106558,0.08166921404169976,-0.22847305299770848,-0.074764516606537,-0.23602899025256505,-0.1946378060561703,0.0035113895609776846,0.12318392594037349,0.017108357009241945,-0.00915728975710325,0.036782991024772775,0.039626356575893716,-0.006718773868429835,0.03670016310079615,0.03403516921528061,-0.012859986122608283,-0.030243470813875316,-0.012791024950492528
3,0.17227243070851272,0.07165538737434343,-0.0563040953363195,0.12004891716592808,0.48551652157766173,-0.07357181632951647,-0.1854292012702028,-0.08680951609126743,0.002631091908916249,-0.0166800352003699,-0.02295217034557649,0.010843044838741758,0.022249989734148108,-0.1167263878687387,-0.07424310898849776,-0.013981573728740381,0.06358349386033561,0.008835759135927134,0.05842389228208468,-0.3201139369742291
4,-0.011946206798156556,0.2239459628731352,0.04581885758532415,0.06672628006876172,-0.18658008938554996,-0.07997693935286349,-0.157795080925026,-0.13683271796614146,0.004910394521797468,0.08033388616382953,0.014732151955343852,-0.0042160811890655575,0.031117602232409353,0.021128179246946696,-0.08236099185513462,0.026597909832954007,0.008204478552325284,-0.019126028846795838,-0.02289220898656817,0.021032556656794977
5,0.076428140196861,0.22137665225950243,0.06168048719288311,0.01157241076078599,-0.2271871672172619,-0.07842270877085689,-0.19789608374007023,-0.16583485393183756,0.00481385724251482,0.10315804965379742,0.013791321636408999,-0.007578307459347335,0.012950681816883927,0.03561446932272382,-0.025513816057950434,0.016199619284345997,0.029751013834693262,-0.03167103538142572,-0.011139212833414402,-0.011656658048384113
6,0.21685219514564558,0.22488595182871216,0.07043431460639243,0.07614343270191218,-0.24493915741080652,-0.07019327720016795,-0.26327616827969225,-0.22140524233246262,0.0031106422039180433,0.14353228376830543,0.015078973061809602,-0.009751232858863004,0.03431526202933917,0.04379339522348971,0.012550063034966325,0.03649391815066169,0.04240274604610115,-0.015319562057857252,-0.03020527778387874,-0.027855235465769873
7,0.06884622609210483,0.16295689299794525,-0.059427134802542386,0.12066949597910939,0.5555986657351291,-0.07866586647073465,-0.18455780487052892,-0.11219852061292442,0.0038909094369812525,0.029389985609162728,-0.004775373642626074,0.0159271951242913,0.03821701490254227,-0.20754997532257471,-0.06378907518054983,-0.015698765883970338,0.08348662478091601,0.009252817937743235,0.06853540855177584,-0.45148070514889727
8,-0.047172015874499616,0.22684398681333948,0.04480413913842048,0.06905716090854286,-0.19610298574591029,-0.07981591501106083,-0.14144807513923208,-0.12833293063198292,0.005160711016591937,0.0725431625328695,0.01580591530513379,-0.004125893209790859,0.032176187862948374,0.025751575842826224,-0.08546595978359814,0.02677723139348071,0.009180684572603176,-0.018229086395070863,-0.02418753649579273,0.013911673018999416
9,0.10172534359745306,0.22599853043746393,0.04576174571666519,0.0979807351820413,-0.2062539309658936,-0.07746229859258699,-0.21046551213327444,-0.16471812585603032,0.003755355120232838,0.10697278347209187,0.015491284300928483,-0.004301052026528868,0.04167510396471975,0.029370529378022595,-0.08253744835644253,0.03298407766349611,0.011790375251804612,-0.004624549167370071,-0.032155729182142684,0.00595335104676041
