target,n,cmd_hz_mean,meas_mean,meas_std,meas_over_target,meas_over_cmd_hz
100.0,102,1.6806722689075633,681.5704901960785,0.6705375078307595,6.8157049019607845,405.5344416666666
200.0,98,3.361344537815126,781.8405102040816,0.7159182301533131,3.909202551020408,232.59755178571427
300.0,97,5.042016806722689,882.3685567010309,0.6338802293722992,2.9412285223367696,175.00309707903781
400.0,103,6.722689075630252,982.7039805825242,0.6691395408354125,2.4567599514563105,146.17721711165046
500.0,100,8.403361344537815,1082.6045,0.9589750157371716,2.165209,128.82993549999998
600.0,96,10.084033613445378,1182.9221875,0.7792266113539005,1.9715369791666668,117.30645026041668
700.0,96,11.764705882352942,1283.7017708333333,1.2296109738164211,1.8338596726190475,109.11465052083332
800.0,101,13.445378151260504,1384.1018811881188,1.487137325784887,1.7301273514851485,102.94257741336634
900.0,94,15.126050420168067,1484.9153191489363,0.6282878289235692,1.6499059101654847,98.16940165484635
1000.0,96,16.80672268907563,1584.4882291666665,1.8452202805551463,1.5844882291666667,94.27704963541666
1100.0,90,18.48739495798319,1685.8681111111111,1.2455438724017134,1.5326073737373738,91.19013873737374
1200.0,101,20.168067226890756,1784.4049504950494,2.3632103688679167,1.4870041254125412,88.47674546204621
1300.0,98,21.848739495798316,1885.051224489796,1.5813215569929637,1.4500394034536892,86.27734450549451
1400.0,96,23.529411764705884,1985.23625,3.0665688866943888,1.4180258928571428,84.37254062499998
1500.0,101,25.21008403361344,2083.436138613861,3.3175545120758065,1.388957425742574,82.64296683168318
1600.0,99,26.89075630252101,2183.259090909091,1.0738449807451869,1.364536931818182,81.18994744318182
1700.0,92,28.571428571428577,2285.270652173913,3.6050275651954826,1.3442768542199488,79.98447282608693
1800.0,102,30.252100840336134,2383.983039215686,1.2734165389280105,1.3244350217864922,78.80388379629629
1900.0,102,31.932773109243698,2485.5232352941175,4.591085024965673,1.3081701238390093,77.83612236842104
2000.0,95,33.61344537815126,2584.3165263157894,4.657277711012218,1.2921582631578947,76.88341665789473
2100.0,95,35.294117647058826,2684.7027368421054,4.991579812620001,1.2784298746867169,76.06657754385965
2200.0,97,36.97478991596638,2786.332577319588,5.61491248788105,1.26651480787254,75.35763106841614
2300.0,101,38.65546218487395,2885.280495049505,6.413377951787541,1.2544697804563065,74.64095193715025
2400.0,99,40.33613445378151,2969.532626262626,7.033435829164563,1.2373052609427608,73.61966302609427
2500.0,96,42.016806722689076,2970.0189583333336,7.007178346324048,1.1880075833333335,70.68645120833334
2600.0,99,43.69747899159663,2970.2281818181823,6.958762551798972,1.1423954545454547,67.97252954545456
2700.0,100,45.378151260504204,2969.2065000000002,6.976340155819287,1.0997061111111113,65.43251361111112
2800.0,94,47.05882352941177,2969.8927659574465,7.012212910460211,1.0606759878419452,63.11022127659573
2900.0,100,48.739495798319325,2969.1683000000003,7.012009475092671,1.0238511379310347,60.91914270689656
3000.0,46,50.42016806722689,2970.331739130435,7.016961135340542,0.9901105797101449,58.911579492753624
