model,target,holdout_r2
ElasticNet,AE,0.7054199999999999
ElasticNet,Combined,0.8297800000000001
ElasticNet,US,0.7728400000000001
LightGBM,AE,0.9097999999999999
LightGBM,Combined,0.9460799999999999
LightGBM,US,0.88512
